Name,W,A,Ht,h,B,b,tnom,tdes,b/tdes,h/tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS6X3X3/8,19.82,5.48,6.00,4.95,3.00,1.95,0.375,0.349,5.60,14.2,22.7,9.90,7.57,2.04,7.48,6.03,4.99,1.17,19.3,10.3
HSS6X3X5/16,16.96,4.68,6.00,5.13,3.00,2.13,0.3125,0.291,7.31,17.6,20.1,8.61,6.69,2.07,6.67,5.27,4.45,1.19,16.9,8.91
HSS6X3X1/4,13.91,3.84,6.00,5.30,3.00,2.30,0.250,0.233,9.88,22.8,17.0,7.19,5.66,2.10,5.70,4.41,3.80,1.22,14.2,7.39
HSS6X3X3/16,10.70,2.93,6.00,5.48,3.00,2.48,0.1875,0.174,14.2,31.5,13.4,5.59,4.47,2.14,4.55,3.45,3.03,1.25,11.1,5.71
HSS6X3X1/8,7.31,2.00,6.00,5.65,3.00,2.65,0.125,0.116,22.9,48.7,9.43,3.87,3.14,2.17,3.23,2.40,2.15,1.27,7.73,3.93
HSS6X2X3/8,17.27,4.78,6.00,4.95,2.00,0.953,0.375,0.349,2.73,14.2,17.1,7.93,5.71,1.89,2.77,3.46,2.77,0.760,8.42,6.35
HSS6X2X5/16,14.83,4.10,6.00,5.13,2.00,1.13,0.3125,0.291,3.87,17.6,15.3,6.95,5.11,1.93,2.52,3.07,2.52,0.785,7.60,5.58
HSS6X2X1/4,12.21,3.37,6.00,5.30,2.00,1.30,0.250,0.233,5.58,22.8,13.1,5.84,4.37,1.97,2.21,2.61,2.21,0.810,6.55,4.70
HSS6X2X3/16,9.42,2.58,6.00,5.48,2.00,1.48,0.1875,0.174,8.49,31.5,10.5,4.58,3.49,2.01,1.80,2.07,1.80,0.836,5.24,3.68
HSS6X2X1/8,6.46,1.77,6.00,5.65,2.00,1.65,0.125,0.116,14.2,48.7,7.42,3.19,2.47,2.05,1.31,1.46,1.31,0.861,3.72,2.57
HSS5-1/2X5-1/2X3/8,24.93,6.88,5.50,4.45,5.50,4.45,0.375,0.349,12.8,12.8,29.7,13.1,10.8,2.08,29.7,13.1,10.8,2.08,49.0,18.4
HSS5-1/2X5-1/2X5/16,21.21,5.85,5.50,4.63,5.50,4.63,0.3125,0.291,15.9,15.9,25.9,11.3,9.43,2.11,25.9,11.3,9.43,2.11,42.2,15.7
HSS5-1/2X5-1/2X1/4,17.32,4.77,5.50,4.80,5.50,4.80,0.250,0.233,20.6,20.6,21.7,9.32,7.90,2.13,21.7,9.32,7.90,2.13,34.8,12.9
HSS5-1/2X5-1/2X3/16,13.25,3.63,5.50,4.98,5.50,4.98,0.1875,0.174,28.6,28.6,17.0,7.19,6.17,2.16,17.0,7.19,6.17,2.16,26.7,9.85
HSS5-1/2X5-1/2X1/8,9.01,2.46,5.50,5.15,5.50,5.15,0.125,0.116,44.4,44.4,11.8,4.95,4.30,2.19,11.8,4.95,4.30,2.19,18.3,6.72
HSS5X5X1/2,28.43,7.88,5.00,3.60,5.00,3.60,0.500,0.465,7.75,7.75,26.0,13.1,10.4,1.82,26.0,13.1,10.4,1.82,44.6,18.7
HSS5X5X3/8,22.37,6.18,5.00,3.95,5.00,3.95,0.375,0.349,11.3,11.3,21.7,10.6,8.68,1.87,21.7,10.6,8.68,1.87,36.1,14.9
HSS5X5X5/16,19.08,5.26,5.00,4.13,5.00,4.13,0.3125,0.291,14.2,14.2,19.0,9.16,7.62,1.90,19.0,9.16,7.62,1.90,31.2,12.8
HSS5X5X1/4,15.62,4.30,5.00,4.30,5.00,4.30,0.250,0.233,18.5,18.5,16.0,7.61,6.41,1.93,16.0,7.61,6.41,1.93,25.8,10.5
HSS5X5X3/16,11.97,3.28,5.00,4.48,5.00,4.48,0.1875,0.174,25.7,25.7,12.6,5.89,5.03,1.96,12.6,5.89,5.03,1.96,19.9,8.08
HSS5X5X1/8,8.16,2.23,5.00,4.65,5.00,4.65,0.125,0.116,40.1,40.1,8.80,4.07,3.52,1.99,8.80,4.07,3.52,1.99,13.7,5.53
HSS5X4X1/2,25.03,6.95,5.00,3.60,4.00,2.60,0.500,0.465,5.60,7.75,21.2,10.9,8.49,1.75,14.9,9.35,7.43,1.46,30.3,14.5
HSS5X4X3/8,19.82,5.48,5.00,3.95,4.00,2.95,0.375,0.349,8.46,11.3,17.9,8.96,7.17,1.81,12.6,7.67,6.30,1.52,24.9,11.7
HSS5X4X5/16,16.96,4.68,5.00,4.13,4.00,3.13,0.3125,0.291,10.7,14.2,15.8,7.79,6.32,1.84,11.1,6.67,5.57,1.54,21.7,10.1
HSS5X4X1/4,13.91,3.84,5.00,4.30,4.00,3.30,0.250,0.233,14.2,18.5,13.4,6.49,5.35,1.87,9.46,5.57,4.73,1.57,18.0,8.32
HSS5X4X3/16,10.70,2.93,5.00,4.48,4.00,3.48,0.1875,0.174,20.0,25.7,10.6,5.05,4.22,1.90,7.48,4.34,3.74,1.60,14.0,6.41
HSS5X4X1/8,7.31,2.00,5.00,4.65,4.00,3.65,0.125,0.116,31.5,40.1,7.42,3.50,2.97,1.93,5.27,3.01,2.64,1.62,9.66,4.39
HSS5X3X1/2,21.63,6.02,5.00,3.60,3.00,1.60,0.500,0.465,3.45,7.75,16.4,8.83,6.57,1.65,7.18,6.10,4.78,1.09,17.6,10.3
HSS5X3X3/8,17.27,4.78,5.00,3.95,3.00,1.95,0.375,0.349,5.60,11.3,14.1,7.34,5.65,1.72,6.25,5.10,4.16,1.14,14.9,8.44
HSS5X3X5/16,14.83,4.10,5.00,4.13,3.00,2.13,0.3125,0.291,7.31,14.2,12.6,6.42,5.03,1.75,5.60,4.48,3.73,1.17,13.1,7.33
HSS5X3X1/4,12.21,3.37,5.00,4.30,3.00,2.30,0.250,0.233,9.88,18.5,10.7,5.38,4.29,1.78,4.81,3.77,3.21,1.19,11.0,6.10
HSS5X3X3/16,9.42,2.58,5.00,4.48,3.00,2.48,0.1875,0.174,14.2,25.7,8.53,4.21,3.41,1.82,3.85,2.96,2.57,1.22,8.64,4.73
HSS5X3X1/8,6.46,1.77,5.00,4.65,3.00,2.65,0.125,0.116,22.9,40.1,6.03,2.93,2.41,1.85,2.75,2.07,1.83,1.25,6.02,3.26
HSS5X2-1/2X1/4,11.36,3.14,5.00,4.30,2.50,1.80,0.250,0.233,7.73,18.5,9.40,4.83,3.76,1.73,3.13,2.95,2.50,0.999,7.93,4.99
HSS5X2-1/2X3/16,8.78,2.41,5.00,4.48,2.50,1.98,0.1875,0.174,11.4,25.7,7.51,3.79,3.01,1.77,2.53,2.33,2.03,1.02,6.26,3.89
HSS5X2-1/2X1/8,6.03,1.65,5.00,4.65,2.50,2.15,0.125,0.116,18.6,40.1,5.34,2.65,2.14,1.80,1.82,1.64,1.46,1.05,4.40,2.70
HSS5X2X3/8,14.72,4.09,5.00,3.95,2.00,0.953,0.375,0.349,2.73,11.3,10.4,5.71,4.14,1.59,2.28,2.88,2.28,0.748,6.61,5.20
HSS5X2X5/16,12.70,3.52,5.00,4.13,2.00,1.13,0.3125,0.291,3.87,14.2,9.35,5.05,3.74,1.63,2.10,2.57,2.10,0.772,5.99,4.59
HSS5X2X1/4,10.51,2.91,5.00,4.30,2.00,1.30,0.250,0.233,5.58,18.5,8.08,4.27,3.23,1.67,1.84,2.20,1.84,0.797,5.17,3.88
HSS5X2X3/16,8.15,2.24,5.00,4.48,2.00,1.48,0.1875,0.174,8.49,25.7,6.50,3.37,2.60,1.70,1.51,1.75,1.51,0.823,4.15,3.05
HSS5X2X1/8,5.61,1.54,5.00,4.65,2.00,1.65,0.125,0.116,14.2,40.1,4.65,2.37,1.86,1.74,1.10,1.24,1.10,0.848,2.95,2.13
HSS4-1/2X4-1/2X1/2,25.03,6.95,4.50,3.10,4.50,3.10,0.500,0.465,6.68,6.68,18.1,10.2,8.03,1.61,18.1,10.2,8.03,1.61,31.3,14.8
HSS4-1/2X4-1/2X3/8,19.82,5.48,4.50,3.45,4.50,3.45,0.375,0.349,9.89,9.89,15.3,8.36,6.79,1.67,15.3,8.36,6.79,1.67,25.7,11.9
HSS4-1/2X4-1/2X5/16,16.96,4.68,4.50,3.63,4.50,3.63,0.3125,0.291,12.5,12.5,13.5,7.27,6.00,1.70,13.5,7.27,6.00,1.70,22.3,10.2
HSS4-1/2X4-1/2X1/4,13.91,3.84,4.50,3.80,4.50,3.80,0.250,0.233,16.3,16.3,11.4,6.06,5.08,1.73,11.4,6.06,5.08,1.73,18.5,8.44
HSS4-1/2X4-1/2X3/16,10.70,2.93,4.50,3.98,4.50,3.98,0.1875,0.174,22.9,22.9,9.02,4.71,4.01,1.75,9.02,4.71,4.01,1.75,14.4,6.49
HSS4-1/2X4-1/2X1/8,7.31,2.00,4.50,4.15,4.50,4.15,0.125,0.116,35.8,35.8,6.35,3.27,2.82,1.78,6.35,3.27,2.82,1.78,9.92,4.45
HSS4X4X1/2,21.63,6.02,4.00,2.60,4.00,2.60,0.500,0.465,5.60,5.60,11.9,7.70,5.97,1.41,11.9,7.70,5.97,1.41,21.0,11.2
HSS4X4X3/8,17.27,4.78,4.00,2.95,4.00,2.95,0.375,0.349,8.46,8.46,10.3,6.39,5.13,1.47,10.3,6.39,5.13,1.47,17.5,9.14
HSS4X4X5/16,14.83,4.10,4.00,3.13,4.00,3.13,0.3125,0.291,10.7,10.7,9.14,5.59,4.57,1.49,9.14,5.59,4.57,1.49,15.3,7.91
HSS4X4X1/4,12.21,3.37,4.00,3.30,4.00,3.30,0.250,0.233,14.2,14.2,7.80,4.69,3.90,1.52,7.80,4.69,3.90,1.52,12.8,6.56
HSS4X4X3/16,9.42,2.58,4.00,3.48,4.00,3.48,0.1875,0.174,20.0,20.0,6.21,3.67,3.10,1.55,6.21,3.67,3.10,1.55,10.0,5.07
HSS4X4X1/8,6.46,1.77,4.00,3.65,4.00,3.65,0.125,0.116,31.5,31.5,4.40,2.56,2.20,1.58,4.40,2.56,2.20,1.58,6.91,3.49
HSS4X3X3/8,14.72,4.09,4.00,2.95,3.00,1.95,0.375,0.349,5.60,8.46,7.93,5.12,3.97,1.39,5.01,4.18,3.34,1.11,10.6,6.59
HSS4X3X5/16,12.70,3.52,4.00,3.13,3.00,2.13,0.3125,0.291,7.31,10.7,7.14,4.51,3.57,1.42,4.52,3.69,3.02,1.13,9.41,5.75
HSS4X3X1/4,10.51,2.91,4.00,3.30,3.00,2.30,0.250,0.233,9.88,14.2,6.15,3.81,3.07,1.45,3.91,3.12,2.61,1.16,7.96,4.81
HSS4X3X3/16,8.15,2.24,4.00,3.48,3.00,2.48,0.1875,0.174,14.2,20.0,4.93,3.00,2.47,1.49,3.16,2.46,2.10,1.19,6.26,3.74
HSS4X3X1/8,5.61,1.54,4.00,3.65,3.00,2.65,0.125,0.116,22.9,31.5,3.52,2.11,1.76,1.52,2.27,1.73,1.51,1.21,4.38,2.59
HSS4X2-1/2X3/8,13.44,3.74,4.00,2.95,2.50,1.45,0.375,0.349,4.16,8.46,6.77,4.48,3.38,1.35,3.17,3.20,2.54,0.922,7.57,5.32
HSS4X2-1/2X5/16,11.64,3.23,4.00,3.13,2.50,1.63,0.3125,0.291,5.59,10.7,6.13,3.97,3.07,1.38,2.89,2.85,2.32,0.947,6.77,4.67
HSS4X2-1/2X1/4,9.66,2.67,4.00,3.30,2.50,1.80,0.250,0.233,7.73,14.2,5.32,3.38,2.66,1.41,2.53,2.43,2.02,0.973,5.78,3.93
HSS4X2-1/2X3/16,7.51,2.06,4.00,3.48,2.50,1.98,0.1875,0.174,11.4,20.0,4.30,2.67,2.15,1.44,2.06,1.93,1.65,0.999,4.59,3.08
HSS4X2-1/2X1/8,5.18,1.42,4.00,3.65,2.50,2.15,0.125,0.116,18.6,31.5,3.09,1.88,1.54,1.47,1.49,1.36,1.19,1.03,3.23,2.14
HSS4X2X3/8,12.17,3.39,4.00,2.95,2.00,0.953,0.375,0.349,2.73,8.46,5.60,3.84,2.80,1.29,1.80,2.31,1.80,0.729,4.83,4.04
HSS4X2X5/16,10.58,2.94,4.00,3.13,2.00,1.13,0.3125,0.291,3.87,10.7,5.13,3.43,2.56,1.32,1.67,2.08,1.67,0.754,4.40,3.59
HSS4X2X1/4,8.81,2.44,4.00,3.30,2.00,1.30,0.250,0.233,5.58,14.2,4.49,2.94,2.25,1.36,1.48,1.79,1.48,0.779,3.82,3.05
HSS4X2X3/16,6.87,1.89,4.00,3.48,2.00,1.48,0.1875,0.174,8.49,20.0,3.66,2.34,1.83,1.39,1.22,1.43,1.22,0.804,3.08,2.41
HSS4X2X1/8,4.75,1.30,4.00,3.65,2.00,1.65,0.125,0.116,14.2,31.5,2.65,1.66,1.32,1.43,0.898,1.02,0.898,0.830,2.20,1.69
HSS3-1/2X3-1/2X3/8,14.72,4.09,3.50,2.45,3.50,2.45,0.375,0.349,7.03,7.03,6.49,4.69,3.71,1.26,6.49,4.69,3.71,1.26,11.2,6.77
HSS3-1/2X3-1/2X5/16,12.70,3.52,3.50,2.63,3.50,2.63,0.3125,0.291,9.03,9.03,5.84,4.14,3.34,1.29,5.84,4.14,3.34,1.29,9.89,5.90
HSS3-1/2X3-1/2X1/4,10.51,2.91,3.50,2.80,3.50,2.80,0.250,0.233,12.0,12.0,5.04,3.50,2.88,1.32,5.04,3.50,2.88,1.32,8.35,4.92
HSS3-1/2X3-1/2X3/16,8.15,2.24,3.50,2.98,3.50,2.98,0.1875,0.174,17.1,17.1,4.05,2.76,2.31,1.35,4.05,2.76,2.31,1.35,6.56,3.83
HSS3-1/2X3-1/2X1/8,5.61,1.54,3.50,3.15,3.50,3.15,0.125,0.116,27.2,27.2,2.90,1.93,1.66,1.37,2.90,1.93,1.66,1.37,4.58,2.65
HSS3-1/2X2-1/2X3/8,12.17,3.39,3.50,2.45,2.50,1.45,0.375,0.349,4.16,7.03,4.75,3.59,2.72,1.18,2.77,2.82,2.21,0.904,6.16,4.57
HSS3-1/2X2-1/2X5/16,10.58,2.94,3.50,2.63,2.50,1.63,0.3125,0.291,5.59,9.03,4.34,3.20,2.48,1.22,2.54,2.52,2.03,0.930,5.53,4.03
HSS3-1/2X2-1/2X1/4,8.81,2.44,3.50,2.80,2.50,1.80,0.250,0.233,7.73,12.0,3.79,2.74,2.17,1.25,2.23,2.16,1.78,0.956,4.75,3.40
HSS3-1/2X2-1/2X3/16,6.87,1.89,3.50,2.98,2.50,1.98,0.1875,0.174,11.4,17.1,3.09,2.18,1.76,1.28,1.82,1.72,1.46,0.983,3.78,2.67
HSS3-1/2X2-1/2X1/8,4.75,1.30,3.50,3.15,2.50,2.15,0.125,0.116,18.6,27.2,2.23,1.54,1.28,1.31,1.33,1.22,1.06,1.01,2.67,1.87
HSS3-1/2X2X1/4,7.96,2.21,3.50,2.80,2.00,1.30,0.250,0.233,5.58,12.0,3.17,2.36,1.81,1.20,1.30,1.58,1.30,0.766,3.16,2.64
HSS3-1/2X2X3/16,6.23,1.71,3.50,2.98,2.00,1.48,0.1875,0.174,8.49,17.1,2.61,1.89,1.49,1.23,1.08,1.27,1.08,0.792,2.55,2.09
HSS3-1/2X2X1/8,4.33,1.19,3.50,3.15,2.00,1.65,0.125,0.116,14.2,27.2,1.90,1.34,1.09,1.27,0.795,0.912,0.795,0.818,1.83,1.47
HSS3-1/2X1-1/2X1/4,7.11,1.97,3.50,2.80,1.50,0.801,0.250,0.233,3.44,12.0,2.55,1.98,1.46,1.14,0.638,1.06,0.851,0.569,1.79,1.88
HSS3-1/2X1-1/2X3/16,5.59,1.54,3.50,2.98,1.50,0.978,0.1875,0.174,5.62,17.1,2.12,1.60,1.21,1.17,0.544,0.867,0.725,0.594,1.49,1.51
HSS3-1/2X1-1/2X1/8,3.90,1.07,3.50,3.15,1.50,1.15,0.125,0.116,9.93,27.2,1.57,1.15,0.896,1.21,0.411,0.630,0.548,0.619,1.09,1.08
HSS3X3X3/8,12.17,3.39,3.00,1.95,3.00,1.95,0.375,0.349,5.60,5.60,3.78,3.25,2.52,1.06,3.78,3.25,2.52,1.06,6.64,4.74
HSS3X3X5/16,10.58,2.94,3.00,2.13,3.00,2.13,0.3125,0.291,7.31,7.31,3.45,2.90,2.30,1.08,3.45,2.90,2.30,1.08,5.94,4.18
HSS3X3X1/4,8.81,2.44,3.00,2.30,3.00,2.30,0.250,0.233,9.88,9.88,3.02,2.48,2.01,1.11,3.02,2.48,2.01,1.11,5.08,3.52
HSS3X3X3/16,6.87,1.89,3.00,2.48,3.00,2.48,0.1875,0.174,14.2,14.2,2.46,1.97,1.64,1.14,2.46,1.97,1.64,1.14,4.03,2.76
HSS3X3X1/8,4.75,1.30,3.00,2.65,3.00,2.65,0.125,0.116,22.9,22.9,1.78,1.40,1.19,1.17,1.78,1.40,1.19,1.17,2.84,1.92
HSS3X2-1/2X5/16,9.51,2.64,3.00,2.13,2.50,1.63,0.3125,0.291,5.59,7.31,2.92,2.51,1.94,1.05,2.18,2.20,1.74,0.908,4.34,3.39
HSS3X2-1/2X1/4,7.96,2.21,3.00,2.30,2.50,1.80,0.250,0.233,7.73,9.88,2.57,2.16,1.72,1.08,1.93,1.90,1.54,0.935,3.74,2.87
HSS3X2-1/2X3/16,6.23,1.71,3.00,2.48,2.50,1.98,0.1875,0.174,11.4,14.2,2.11,1.73,1.41,1.11,1.59,1.52,1.27,0.963,3.00,2.27
HSS3X2-1/2X1/8,4.33,1.19,3.00,2.65,2.50,2.15,0.125,0.116,18.6,22.9,1.54,1.23,1.03,1.14,1.16,1.09,0.931,0.990,2.13,1.59
HSS3X2X5/16,8.45,2.35,3.00,2.13,2.00,1.13,0.3125,0.291,3.87,7.31,2.38,2.11,1.59,1.01,1.24,1.58,1.24,0.725,2.87,2.60
HSS3X2X1/4,7.11,1.97,3.00,2.30,2.00,1.30,0.250,0.233,5.58,9.88,2.13,1.83,1.42,1.04,1.11,1.38,1.11,0.751,2.52,2.23
HSS3X2X3/16,5.59,1.54,3.00,2.48,2.00,1.48,0.1875,0.174,8.49,14.2,1.77,1.48,1.18,1.07,0.932,1.12,0.932,0.778,2.05,1.78
HSS3X2X1/8,3.90,1.07,3.00,2.65,2.00,1.65,0.125,0.116,14.2,22.9,1.30,1.06,0.867,1.10,0.692,0.803,0.692,0.804,1.47,1.25
HSS3X1-1/2X1/4,6.26,1.74,3.00,2.30,1.50,0.801,0.250,0.233,3.44,9.88,1.68,1.51,1.12,0.982,0.543,0.911,0.725,0.559,1.44,1.58
HSS3X1-1/2X3/16,4.96,1.37,3.00,2.48,1.50,0.978,0.1875,0.174,5.62,14.2,1.42,1.24,0.945,1.02,0.467,0.752,0.622,0.584,1.21,1.28
HSS3X1-1/2X1/8,3.48,0.956,3.00,2.65,1.50,1.15,0.125,0.116,9.93,22.9,1.06,0.895,0.706,1.05,0.355,0.550,0.474,0.610,0.886,0.920
HSS3X1X3/16,4.32,1.19,3.00,2.48,1.00,0.478,0.1875,0.174,2.75,14.2,1.07,0.989,0.713,0.947,0.173,0.432,0.345,0.380,0.526,0.792
HSS3X1X1/8,3.05,0.840,3.00,2.65,1.00,0.652,0.125,0.116,5.62,22.9,0.817,0.728,0.545,0.987,0.138,0.325,0.276,0.405,0.408,0.585
HSS2-1/2X2-1/2X5/16,8.45,2.35,2.50,1.63,2.50,1.63,0.3125,0.291,5.59,5.59,1.82,1.88,1.46,0.880,1.82,1.88,1.46,0.880,3.20,2.74
HSS2-1/2X2-1/2X1/4,7.11,1.97,2.50,1.80,2.50,1.80,0.250,0.233,7.73,7.73,1.63,1.63,1.30,0.908,1.63,1.63,1.30,0.908,2.79,2.35
HSS2-1/2X2-1/2X3/16,5.59,1.54,2.50,1.98,2.50,1.98,0.1875,0.174,11.4,11.4,1.35,1.32,1.08,0.937,1.35,1.32,1.08,0.937,2.25,1.86
HSS2-1/2X2-1/2X1/8,3.90,1.07,2.50,2.15,2.50,2.15,0.125,0.116,18.6,18.6,0.998,0.947,0.799,0.965,0.998,0.947,0.799,0.965,1.61,1.31
HSS2-1/2X2X1/4,6.26,1.74,2.50,1.80,2.00,1.30,0.250,0.233,5.58,7.73,1.33,1.37,1.06,0.874,0.930,1.17,0.930,0.731,1.90,1.82
HSS2-1/2X2X3/16,4.96,1.37,2.50,1.98,2.00,1.48,0.1875,0.174,8.49,11.4,1.12,1.12,0.894,0.904,0.786,0.956,0.786,0.758,1.55,1.46
HSS2-1/2X2X1/8,3.48,0.956,2.50,2.15,2.00,1.65,0.125,0.116,14.2,18.6,0.833,0.809,0.667,0.934,0.589,0.694,0.589,0.785,1.12,1.04
HSS2-1/2X1-1/2X1/4,5.41,1.51,2.50,1.80,1.50,0.801,0.250,0.233,3.44,7.73,1.03,1.11,0.822,0.826,0.449,0.764,0.599,0.546,1.10,1.29
HSS2-1/2X1-1/2X3/16,4.32,1.19,2.50,1.98,1.50,0.978,0.1875,0.174,5.62,11.4,0.882,0.915,0.705,0.860,0.390,0.636,0.520,0.572,0.929,1.05
HSS2-1/2X1-1/2X1/8,3.05,0.840,2.50,2.15,1.50,1.15,0.125,0.116,9.93,18.6,0.668,0.671,0.535,0.892,0.300,0.469,0.399,0.597,0.687,0.759
HSS2-1/2X1X3/16,3.68,1.02,2.50,1.98,1.00,0.478,0.1875,0.174,2.75,11.4,0.646,0.713,0.517,0.796,0.143,0.360,0.285,0.374,0.412,0.648
HSS2-1/2X1X1/8,2.63,0.724,2.50,2.15,1.00,0.652,0.125,0.116,5.62,18.6,0.503,0.532,0.403,0.834,0.115,0.274,0.230,0.399,0.322,0.483
HSS2-1/4X2-1/4X1/4,6.26,1.74,2.25,1.55,2.25,1.55,0.250,0.233,6.66,6.66,1.13,1.28,1.01,0.806,1.13,1.28,1.01,0.806,1.96,1.85
HSS2-1/4X2-1/4X3/16,4.96,1.37,2.25,1.73,2.25,1.73,0.1875,0.174,9.93,9.93,0.953,1.04,0.847,0.835,0.953,1.04,0.847,0.835,1.60,1.48
HSS2-1/4X2-1/4X1/8,3.48,0.956,2.25,1.90,2.25,1.90,0.125,0.116,16.4,16.4,0.712,0.755,0.633,0.863,0.712,0.755,0.633,0.863,1.15,1.05
HSS2-1/4X2X3/16,4.64,1.28,2.25,1.73,2.00,1.48,0.1875,0.174,8.49,9.93,0.859,0.952,0.764,0.819,0.713,0.877,0.713,0.747,1.32,1.30
HSS2-1/4X2X1/8,3.27,0.898,2.25,1.90,2.00,1.65,0.125,0.116,14.2,16.4,0.646,0.693,0.574,0.848,0.538,0.639,0.538,0.774,0.957,0.927
HSS2X2X1/4,5.41,1.51,2.00,1.30,2.00,1.30,0.250,0.233,5.58,5.58,0.747,0.964,0.747,0.704,0.747,0.964,0.747,0.704,1.31,1.41
HSS2X2X3/16,4.32,1.19,2.00,1.48,2.00,1.48,0.1875,0.174,8.49,8.49,0.641,0.797,0.641,0.733,0.641,0.797,0.641,0.733,1.09,1.14
HSS2X2X1/8,3.05,0.840,2.00,1.65,2.00,1.65,0.125,0.116,14.2,14.2,0.486,0.584,0.486,0.761,0.486,0.584,0.486,0.761,0.796,0.817
HSS2X1-1/2X3/16,3.68,1.02,2.00,1.48,1.50,0.978,0.1875,0.174,5.62,8.49,0.495,0.639,0.495,0.697,0.313,0.521,0.417,0.554,0.664,0.822
HSS2X1-1/2X1/8,2.63,0.724,2.00,1.65,1.50,1.15,0.125,0.116,9.93,14.2,0.383,0.475,0.383,0.728,0.244,0.389,0.325,0.581,0.496,0.599
HSS2X1X3/16,3.04,0.845,2.00,1.48,1.00,0.478,0.1875,0.174,2.75,8.49,0.350,0.480,0.350,0.643,0.112,0.288,0.225,0.365,0.301,0.505
HSS2X1X1/8,2.20,0.608,2.00,1.65,1.00,0.652,0.125,0.116,5.62,14.2,0.280,0.366,0.280,0.679,0.0922,0.223,0.184,0.390,0.238,0.380