Name,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,y,yp,bf/2tf,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi
WT10.5X22,22.0,6.49,10.3,10  3/8 ,6.50,6  1/2 ,0.350,  3/8 ,  3/16,0.450,  7/16,0.950,1  1/8 ,2.98,1.06,7.22,29.4,71.1,17.6,9.68,3.31,10.3,5.07,3.18,1.26,0.383,1.40,4.49,0.623,26.6,33.1,27.1,33.6,3  1/2 
WT9X155.5,155.5,45.8,11.2,11  1/8 ,12.0,12      ,1.52,1  1/2 ,  3/4 ,2.74,2  3/4 ,3.24,3  9/16,2.93,1.91,2.19,7.37,383,90.6,46.6,2.89,398,104,66.2,2.95,87.2,339,4.41,0.875,33.7,45.7,34.4,46.4,5  1/2 
WT9X141.5,141.5,41.7,10.9,10  7/8 ,11.9,11  7/8 ,1.40,1  3/8 , 11/16,2.50,2  1/2 ,3.00,3  3/8 ,2.80,1.75,2.38,7.79,337,80.2,41.5,2.85,352,92.5,59.2,2.91,66.5,251,4.36,0.873,33.0,44.9,33.7,45.6,5  1/2 
WT9X129,129,38.0,10.7,10  3/4 ,11.8,11  3/4 ,1.28,1  1/4 ,  5/8 ,2.30,2  5/16,2.70,3  3/16,2.68,1.61,2.56,8.36,298,71.0,37.0,2.80,314,83.1,53.4,2.88,51.1,189,4.30,0.874,32.5,44.3,33.2,45.0,5  1/2 
WT9X117,117,34.3,10.5,10  1/2 ,11.7,11  5/8 ,1.16,1  3/16,  5/8 ,2.11,2  1/8 ,2.51,3      ,2.55,1.48,2.76,9.05,261,62.4,32.7,2.75,279,74.4,47.9,2.85,39.1,140,4.23,0.875,32.0,43.7,32.7,44.4,5  1/2 
WT9X105.5,105.5,31.2,10.3,10  3/8 ,11.6,11  1/2 ,1.06,1  1/16,  9/16,1.91,1 15/16,2.31,2 13/16,2.44,1.34,3.02,9.72,229,55.0,29.1,2.72,246,66.1,42.7,2.82,29.1,102,4.19,0.874,31.5,43.1,32.2,43.8,5  1/2 
WT9X96,96.0,28.1,10.2,10  1/8 ,11.5,11  1/2 ,0.960, 15/16,  1/2 ,1.75,1  3/4 ,2.15,2  5/8 ,2.34,1.23,3.27,10.6,202,48.5,25.8,2.68,220,59.4,38.4,2.79,22.3,75.7,4.13,0.875,31.2,42.7,31.9,43.4,5  1/2 
WT9X87.5,87.5,25.7,10.0,10      ,11.4,11  3/8 ,0.890,  7/8 ,  7/16,1.59,1  9/16,1.99,2  7/16,2.26,1.13,3.58,11.2,181,43.6,23.4,2.66,196,53.1,34.4,2.76,16.8,56.5,4.10,0.872,30.7,42.1,31.4,42.8,5  1/2 
WT9X79,79.0,23.2,9.86,9  7/8 ,11.3,11  1/4 ,0.810, 13/16,  7/16,1.44,1  7/16,1.84,2  3/8 ,2.17,1.02,3.92,12.2,160,38.5,20.8,2.63,174,47.4,30.7,2.74,12.5,41.2,4.06,0.872,30.3,41.6,31.0,42.3,5  1/2 
WT9X71.5,71.5,21.0,9.75,9  3/4 ,11.2,11  1/4 ,0.730,  3/4 ,  3/8 ,1.32,1  5/16,1.72,2  3/16,2.09,0.937,4.25,13.4,142,34.0,18.5,2.60,156,42.7,27.7,2.72,9.58,30.7,4.02,0.874,30.0,41.2,30.7,41.9,5  1/2 
WT9X65,65.0,19.2,9.63,9  5/8 ,11.2,11  1/8 ,0.670, 11/16,  3/8 ,1.20,1  3/16,1.60,2  1/16,2.02,0.856,4.65,14.4,127,30.5,16.7,2.58,139,38.3,24.9,2.70,7.23,22.8,4.00,0.873,29.8,41.0,30.5,41.7,5  1/2 
WT9X59.5,59.5,17.6,9.49,9  1/2 ,11.3,11  1/4 ,0.655,  5/8 ,  5/16,1.06,1  1/16,1.46,1 15/16,2.03,0.778,5.31,14.5,119,28.7,15.9,2.60,126,34.5,22.5,2.69,5.30,17.4,4.03,0.862,29.6,40.9,30.3,41.6,5  1/2 
WT9X53,53.0,15.6,9.37,9  3/8 ,11.2,11  1/4 ,0.590,  9/16,  5/16,0.940, 15/16,1.34,1 13/16,1.97,0.695,5.96,15.9,104,25.2,14.1,2.59,110,30.2,19.7,2.66,3.73,12.1,4.00,0.860,29.3,40.5,29.9,41.1,5  1/2 
WT9X48.5,48.5,14.2,9.30,9  1/4 ,11.1,11  1/8 ,0.535,  9/16,  5/16,0.870,  7/8 ,1.27,1  3/4 ,1.91,0.640,6.41,17.4,93.8,22.6,12.7,2.56,100,27.6,18.0,2.65,2.92,9.29,3.97,0.863,29.0,40.1,29.7,40.8,5  1/2 
WT9X43,43.0,12.7,9.20,9  1/4 ,11.1,11  1/8 ,0.480,  1/2 ,  1/4 ,0.770,  3/4 ,1.17,1  5/8 ,1.86,0.570,7.20,19.2,82.4,19.9,11.2,2.55,87.6,24.2,15.8,2.63,2.04,6.42,3.95,0.861,28.8,39.9,29.5,40.6,5  1/2 
WT9X38,38.0,11.1,9.11,9  1/8 ,11.0,11      ,0.425,  7/16,  1/4 ,0.680, 11/16,1.08,1  9/16,1.80,0.505,8.11,21.4,71.8,17.3,9.83,2.54,76.2,21.1,13.8,2.61,1.41,4.37,3.93,0.861,28.5,39.5,29.2,40.2,5  1/2 
WT9X35.5,35.5,10.4,9.24,9  1/4 ,7.64,7  5/8 ,0.495,  1/2 ,  1/4 ,0.810, 13/16,1.21,1  1/2 ,2.26,0.683,4.71,18.7,78.2,20.0,11.2,2.74,30.1,12.3,7.89,1.70,1.74,3.96,3.72,0.752,25.6,33.2,26.1,33.8,3  1/2 
WT9X32.5,32.5,9.55,9.18,9  1/8 ,7.59,7  5/8 ,0.450,  7/16,  1/4 ,0.750,  3/4 ,1.15,1  7/16,2.20,0.629,5.06,20.4,70.7,18.0,10.1,2.72,27.4,11.2,7.22,1.69,1.36,3.01,3.69,0.755,25.4,33.0,26.0,33.5,3  1/2 
WT9X30,30.0,8.82,9.12,9  1/8 ,7.56,7  1/2 ,0.415,  7/16,  1/4 ,0.695, 11/16,1.10,1  3/8 ,2.16,0.583,5.44,22.0,64.7,16.5,9.29,2.71,25.0,10.3,6.63,1.68,1.08,2.35,3.67,0.756,25.3,32.8,25.8,33.4,3  1/2 
WT9X27.5,27.5,8.10,9.06,9      ,7.53,7  1/2 ,0.390,  3/8 ,  3/16,0.630,  5/8 ,1.03,1  5/16,2.16,0.538,5.98,23.2,59.5,15.3,8.63,2.71,22.5,9.26,5.97,1.67,0.830,1.84,3.68,0.749,25.1,32.7,25.7,33.2,3  1/2 
WT9X25,25.0,7.34,9.00,9      ,7.50,7  1/2 ,0.355,  3/8 ,  3/16,0.570,  9/16,0.972,1  1/4 ,2.12,0.489,6.57,25.4,53.5,13.8,7.79,2.70,20.0,8.28,5.35,1.65,0.619,1.36,3.66,0.748,25.0,32.5,25.5,33.0,3  1/2 
WT9X23,23.0,6.77,9.03,9      ,6.06,6      ,0.360,  3/8 ,  3/16,0.605,  5/8 ,1.01,1  1/4 ,2.33,0.558,5.01,25.1,52.1,13.9,7.77,2.77,11.3,5.84,3.71,1.29,0.609,1.20,3.67,0.695,23.6,29.7,24.1,30.2,3  1/2 
WT9X20,20.0,5.88,8.95,9      ,6.02,6      ,0.315,  5/16,  3/16,0.525,  1/2 ,0.927,1  3/16,2.29,0.489,5.73,28.4,44.8,12.0,6.73,2.76,9.55,4.97,3.17,1.27,0.404,0.788,3.65,0.693,23.4,29.4,23.9,29.9,3  1/2 
WT9X17.5,17.5,5.15,8.85,8  7/8 ,6.00,6      ,0.300,  5/16,  3/16,0.425,  7/16,0.827,1  1/8 ,2.39,0.450,7.06,29.5,40.1,11.2,6.21,2.79,7.67,4.02,2.56,1.22,0.252,0.598,3.74,0.662,23.2,29.2,23.7,29.7,3  1/2 
WT8X50,50.0,14.7,8.49,8  1/2 ,10.4,10  3/8 ,0.585,  9/16,  5/16,0.985,1      ,1.39,1  7/8 ,1.76,0.706,5.29,14.5,76.8,20.7,11.4,2.28,93.1,27.4,17.9,2.51,3.85,10.4,3.63,0.878,26.7,37.1,27.4,37.8,5  1/2 
WT8X44.5,44.5,13.1,8.38,8  3/8 ,10.4,10  3/8 ,0.525,  1/2 ,  1/4 ,0.875,  7/8 ,1.28,1  3/4 ,1.70,0.631,5.92,16.0,67.2,18.1,10.1,2.27,81.3,24.0,15.7,2.49,2.72,7.19,3.60,0.877,26.5,36.9,27.2,37.6,5  1/2 
WT8X38.5,38.5,11.3,8.26,8  1/4 ,10.3,10  1/4 ,0.455,  7/16,  1/4 ,0.760,  3/4 ,1.16,1  5/8 ,1.63,0.549,6.77,18.2,56.9,15.3,8.59,2.24,69.2,20.5,13.4,2.47,1.78,4.61,3.57,0.877,26.1,36.4,26.8,37.1,5  1/2 
WT8X33.5,33.5,9.81,8.17,8  1/8 ,10.2,10  1/4 ,0.395,  3/8 ,  3/16,0.665, 11/16,1.07,1  9/16,1.56,0.481,7.70,20.7,48.6,13.0,7.36,2.22,59.5,17.7,11.6,2.46,1.19,3.01,3.54,0.879,25.9,36.1,26.5,36.7,5  1/2 
WT8X28.5,28.5,8.39,8.22,8  1/4 ,7.12,7  1/8 ,0.430,  7/16,  1/4 ,0.715, 11/16,1.12,1  3/8 ,1.94,0.589,4.98,19.1,48.7,13.8,7.77,2.41,21.6,9.42,6.06,1.60,1.10,1.99,3.30,0.770,23.0,30.2,23.6,30.7,3  1/2 
WT8X25,25.0,7.37,8.13,8  1/8 ,7.07,7  1/8 ,0.380,  3/8 ,  3/16,0.630,  5/8 ,1.03,1  5/16,1.89,0.521,5.61,21.4,42.3,12.0,6.78,2.40,18.6,8.15,5.26,1.59,0.760,1.34,3.28,0.769,22.8,29.9,23.3,30.4,3  1/2 
WT8X22.5,22.5,6.63,8.07,8  1/8 ,7.04,7      ,0.345,  3/8 ,  3/16,0.565,  9/16,0.967,1  1/4 ,1.86,0.471,6.23,23.4,37.8,10.8,6.10,2.39,16.4,7.22,4.67,1.57,0.555,0.974,3.27,0.767,22.7,29.7,23.2,30.2,3  1/2 
WT8X20,20.0,5.89,8.01,8      ,7.00,7      ,0.305,  5/16,  3/16,0.505,  1/2 ,0.907,1  3/16,1.81,0.421,6.93,26.3,33.1,9.43,5.35,2.37,14.4,6.36,4.12,1.56,0.396,0.673,3.24,0.769,22.5,29.5,23.0,30.0,3  1/2 
WT8X18,18.0,5.29,7.93,7  7/8 ,6.99,7      ,0.295,  5/16,  3/16,0.430,  7/16,0.832,1  1/8 ,1.88,0.378,8.12,26.9,30.6,8.93,5.05,2.41,12.2,5.42,3.50,1.52,0.272,0.516,3.30,0.745,22.3,29.3,22.9,29.8,3  1/2 
WT8X15.5,15.5,4.56,7.94,8      ,5.53,5  1/2 ,0.275,  1/4 ,  1/8 ,0.440,  7/16,0.842,1  1/8 ,2.02,0.413,6.28,28.9,27.5,8.27,4.64,2.45,6.20,3.51,2.24,1.17,0.230,0.366,3.26,0.695,20.9,26.4,21.4,26.9,3  1/2 
WT8X13,13.0,3.84,7.85,7  7/8 ,5.50,5  1/2 ,0.250,  1/4 ,  1/8 ,0.345,  3/8 ,0.747,1  1/16,2.09,0.372,7.97,31.4,23.5,7.36,4.09,2.47,4.79,2.73,1.74,1.12,0.130,0.243,3.32,0.667,20.7,26.2,21.2,26.7,3  1/2 
WT7X436.5,436.5,129,11.8,11  3/4 ,18.8,18  3/4 ,3.94,3 15/16,2      ,5.51,5  1/2 ,6.10,6  3/16,3.88,3.43,1.71,2.99,1040,281,131,2.84,3080,511,328,4.89,1110,8980,5.76,0.962,41.9,60.7,42.4,61.2,8  1/2 
WT7X404,404,119,11.4,11  3/8 ,18.6,18  5/8 ,3.74,3  3/4 ,1  7/8 ,5.12,5  1/8 ,5.71,5  3/4 ,3.69,3.20,1.82,3.05,898,249,116,2.75,2770,465,298,4.82,898,7000,5.67,0.960,40.9,59.5,41.4,60.0,8  1/2 
WT7X365,365,107,11.2,11  1/4 ,17.9,17  7/8 ,3.07,3  1/16,1  9/16,4.91,4 15/16,5.51,6  3/16,3.47,3.00,1.82,3.65,739,211,95.4,2.62,2360,408,264,4.69,714,5250,5.47,0.966,39.3,57.2,40.3,58.2,7  1/2 
WT7X332.5,332.5,97.8,10.8,10  7/8 ,17.7,17  5/8 ,2.83,2 13/16,1  7/16,4.52,4  1/2 ,5.12,5 13/16,3.25,2.77,1.95,3.82,622,182,82.1,2.52,2080,365,236,4.62,555,3920,5.35,0.966,38.3,56.0,39.3,57.0,7  1/2 
WT7X302.5,302.5,89.0,10.5,10  1/2 ,17.4,17  3/8 ,2.60,2  5/8 ,1  5/16,4.16,4  3/16,4.76,5  7/16,3.05,2.55,2.09,4.04,524,157,70.6,2.43,1840,326,211,4.55,430,2930,5.24,0.966,37.4,54.8,38.4,55.8,7  1/2 
WT7X275,275,80.9,10.1,10  1/8 ,17.2,17  1/4 ,2.38,2  3/8 ,1  3/16,3.82,3 13/16,4.42,5  1/8 ,2.85,2.35,2.25,4.24,442,136,60.9,2.34,1630,292,189,4.49,331,2180,5.15,0.966,36.4,53.6,37.4,54.6,7  1/2 
WT7X250,250,73.5,9.80,9  3/4 ,17.0,17      ,2.19,2  3/16,1  1/8 ,3.50,3  1/2 ,4.10,4 13/16,2.67,2.16,2.43,4.47,375,117,52.7,2.26,1440,261,169,4.43,254,1620,5.06,0.967,35.6,52.6,36.6,53.6,7  1/2 
WT7X227.5,227.5,66.9,9.51,9  1/2 ,16.8,16  7/8 ,2.02,2      ,1      ,3.21,3  3/16,3.81,4  1/2 ,2.51,1.99,2.62,4.71,321,102,45.9,2.19,1280,234,152,4.38,196,1210,4.98,0.967,34.8,51.6,35.8,52.6,7  1/2 
WT7X213,213,62.7,9.34,9  3/8 ,16.7,16  3/4 ,1.88,1  7/8 , 15/16,3.04,3  1/16,3.63,4  5/16,2.40,1.88,2.75,4.97,287,91.7,41.4,2.14,1180,217,141,4.34,164,991,4.92,0.968,34.4,51.1,35.4,52.1,7  1/2 
WT7X199,199,58.4,9.15,9  1/8 ,16.6,16  5/8 ,1.77,1  3/4 ,  7/8 ,2.85,2  7/8 ,3.44,4  1/8 ,2.30,1.76,2.92,5.17,257,82.9,37.6,2.10,1090,201,131,4.31,135,801,4.87,0.968,33.9,50.5,34.9,51.5,7  1/2 
WT7X185,185,54.4,8.96,9      ,16.5,16  1/2 ,1.66,1 11/16, 13/16,2.66,2 11/16,3.26,3 15/16,2.19,1.65,3.10,5.40,229,74.4,33.9,2.05,994,185,121,4.27,110,640,4.82,0.968,33.4,49.9,34.4,50.9,7  1/2 
WT7X171,171,50.3,8.77,8  3/4 ,16.4,16  3/8 ,1.54,1  9/16, 13/16,2.47,2  1/2 ,3.07,3  3/4 ,2.09,1.54,3.31,5.69,203,66.2,30.4,2.01,903,169,110,4.24,88.3,502,4.77,0.968,32.9,49.3,33.9,50.3,7  1/2 
WT7X155.5,155.5,45.7,8.56,8  1/2 ,16.2,16  1/4 ,1.41,1  7/16,  3/4 ,2.26,2  1/4 ,2.86,3  9/16,1.97,1.41,3.59,6.07,176,57.7,26.7,1.96,807,152,99.4,4.20,67.5,375,4.71,0.969,32.3,48.5,33.3,49.5,7  1/2 
WT7X141.5,141.5,41.6,8.37,8  3/8 ,16.1,16  1/8 ,1.29,1  5/16, 11/16,2.07,2  1/16,2.67,3  3/8 ,1.86,1.29,3.89,6.49,153,50.4,23.5,1.92,722,137,89.7,4.17,51.8,281,4.66,0.969,31.8,47.9,32.8,48.9,7  1/2 
WT7X128.5,128.5,37.8,8.19,8  1/4 ,16.0,16      ,1.18,1  3/16,  5/8 ,1.89,1  7/8 ,2.49,3  3/16,1.75,1.18,4.23,6.94,133,43.9,20.7,1.88,645,123,80.7,4.13,39.3,209,4.61,0.969,31.4,47.4,32.4,48.4,7  1/2 
WT7X116.5,116.5,34.2,8.02,8      ,15.9,15  7/8 ,1.07,1  1/16,  9/16,1.72,1  3/4 ,2.32,3      ,1.65,1.08,4.62,7.50,116,38.2,18.2,1.84,576,110,72.5,4.10,29.6,154,4.57,0.970,30.9,46.8,31.9,47.8,7  1/2 
WT7X105.5,105.5,31.0,7.86,7  7/8 ,15.8,15  3/4 ,0.980,1      ,  1/2 ,1.56,1  9/16,2.16,2  7/8 ,1.57,0.980,5.06,8.02,102,33.4,16.2,1.81,513,98.9,65.0,4.07,22.2,113,4.52,0.970,30.5,46.3,31.5,47.3,7  1/2 
WT7X96.5,96.5,28.4,7.74,7  3/4 ,15.7,15  3/4 ,0.890,  7/8 ,  7/16,1.44,1  7/16,2.04,2  3/4 ,1.49,0.903,5.45,8.70,89.8,29.4,14.4,1.78,466,90.1,59.3,4.05,17.3,87.2,4.49,0.971,30.2,45.9,31.2,46.9,7  1/2 
WT7X88,88.0,25.9,7.61,7  5/8 ,15.7,15  5/8 ,0.830, 13/16,  7/16,1.31,1  5/16,1.91,2  5/8 ,1.43,0.827,5.97,9.17,80.5,26.3,13.0,1.76,419,81.3,53.5,4.02,13.2,65.2,4.46,0.970,29.9,45.6,30.9,46.6,7  1/2 
WT7X79.5,79.5,23.4,7.49,7  1/2 ,15.6,15  5/8 ,0.745,  3/4 ,  3/8 ,1.19,1  3/16,1.79,2  1/2 ,1.35,0.751,6.54,10.1,70.2,22.8,11.4,1.73,374,73.0,48.1,4.00,9.84,47.9,4.43,0.971,29.6,45.2,30.6,46.2,7  1/2 
WT7X72.5,72.5,21.3,7.39,7  3/8 ,15.5,15  1/2 ,0.680, 11/16,  3/8 ,1.09,1  1/16,1.69,2  3/8 ,1.29,0.688,7.11,10.9,62.5,20.2,10.2,1.71,338,66.2,43.7,3.98,7.56,36.3,4.40,0.971,29.3,44.8,30.3,45.8,7  1/2 
WT7X66,66.0,19.4,7.33,7  3/8 ,14.7,14  3/4 ,0.645,  5/8 ,  5/16,1.03,1      ,1.63,2  5/16,1.29,0.658,7.15,11.4,57.8,18.6,9.57,1.73,274,56.5,37.2,3.76,6.13,26.6,4.21,0.966,28.3,43.0,29.4,44.1,5  1/2 
WT7X60,60.0,17.7,7.24,7  1/4 ,14.7,14  5/8 ,0.590,  9/16,  5/16,0.940, 15/16,1.54,2  1/4 ,1.24,0.602,7.80,12.3,51.7,16.5,8.61,1.71,247,51.2,33.7,3.74,4.67,20.0,4.19,0.966,28.2,42.9,29.2,43.9,5  1/2 
WT7X54.5,54.5,16.0,7.16,7  1/8 ,14.6,14  5/8 ,0.525,  1/2 ,  1/4 ,0.860,  7/8 ,1.46,2  3/16,1.17,0.548,8.49,13.6,45.3,14.4,7.56,1.68,223,46.3,30.6,3.73,3.55,15.0,4.16,0.968,27.9,42.5,28.9,43.5,5  1/2 
WT7X49.5,49.5,14.6,7.08,7  1/8 ,14.6,14  5/8 ,0.485,  1/2 ,  1/4 ,0.780,  3/4 ,1.38,2  1/16,1.14,0.500,9.34,14.6,40.9,12.9,6.88,1.67,201,41.8,27.6,3.71,2.68,11.1,4.14,0.967,27.7,42.3,28.8,43.4,5  1/2 
WT7X45,45.0,13.2,7.01,7      ,14.5,14  1/2 ,0.440,  7/16,  1/4 ,0.710, 11/16,1.31,2      ,1.09,0.456,10.2,15.9,36.5,11.5,6.16,1.66,181,37.8,25.0,3.70,2.03,8.31,4.12,0.968,27.5,42.0,28.5,43.0,5  1/2 
WT7X41,41.0,12.0,7.16,7  1/8 ,10.1,10  1/8 ,0.510,  1/2 ,  1/4 ,0.855,  7/8 ,1.45,1 11/16,1.39,0.593,5.92,14.0,41.2,13.2,7.14,1.85,74.1,22.4,14.6,2.48,2.53,5.63,3.24,0.912,23.7,33.8,24.4,34.5,5  1/2 
WT7X37,37.0,10.9,7.09,7  1/8 ,10.1,10  1/8 ,0.450,  7/16,  1/4 ,0.785, 13/16,1.38,1  5/8 ,1.32,0.541,6.41,15.8,36.0,11.5,6.25,1.82,66.9,20.2,13.3,2.48,1.93,4.19,3.21,0.916,23.6,33.7,24.3,34.4,5  1/2 
WT7X34,34.0,10.0,7.02,7      ,10.0,10      ,0.415,  7/16,  1/4 ,0.720,  3/4 ,1.31,1  9/16,1.29,0.498,6.97,16.9,32.6,10.4,5.69,1.81,60.7,18.4,12.1,2.46,1.50,3.21,3.19,0.916,23.4,33.4,24.0,34.0,5  1/2 
WT7X30.5,30.5,8.96,6.95,7      ,10.0,10      ,0.375,  3/8 ,  3/16,0.645,  5/8 ,1.24,1  1/2 ,1.25,0.448,7.75,18.5,28.9,9.15,5.07,1.80,53.7,16.4,10.7,2.45,1.09,2.29,3.17,0.915,23.2,33.2,23.9,33.9,5  1/2 
WT7X26.5,26.5,7.80,6.96,7      ,8.06,8      ,0.370,  3/8 ,  3/16,0.660, 11/16,1.25,1  1/2 ,1.38,0.484,6.11,18.8,27.6,8.87,4.94,1.88,28.8,11.0,7.15,1.92,0.967,1.46,2.89,0.868,21.3,29.4,22.0,30.0,5  1/2 
WT7X24,24.0,7.07,6.90,6  7/8 ,8.03,8      ,0.340,  5/16,  3/16,0.595,  5/8 ,1.19,1  7/16,1.35,0.440,6.75,20.3,24.9,8.00,4.49,1.88,25.7,9.80,6.40,1.91,0.723,1.07,2.87,0.866,21.1,29.2,21.8,29.9,5  1/2 
WT7X21.5,21.5,6.31,6.83,6  7/8 ,8.00,8      ,0.305,  5/16,  3/16,0.530,  1/2 ,1.12,1  3/8 ,1.31,0.395,7.54,22.4,21.9,7.05,3.98,1.86,22.6,8.64,5.65,1.89,0.522,0.751,2.86,0.865,21.0,29.0,21.7,29.7,5  1/2 
WT7X19,19.0,5.58,7.05,7      ,6.77,6  3/4 ,0.310,  5/16,  3/16,0.515,  1/2 ,0.915,1  1/4 ,1.54,0.412,6.57,22.7,23.3,7.45,4.22,2.04,13.3,6.07,3.94,1.55,0.398,0.554,2.86,0.799,20.4,27.1,20.9,27.6,3  1/2 
WT7X17,17.0,5.00,6.99,7      ,6.75,6  3/4 ,0.285,  5/16,  3/16,0.455,  7/16,0.855,1  3/16,1.53,0.371,7.41,24.5,20.9,6.74,3.83,2.04,11.6,5.32,3.45,1.53,0.284,0.400,2.87,0.792,20.2,27.0,20.7,27.5,3  1/2 
WT7X15,15.0,4.42,6.92,6  7/8 ,6.73,6  3/4 ,0.270,  1/4 ,  1/8 ,0.385,  3/8 ,0.785,1  1/8 ,1.58,0.329,8.74,25.6,19.0,6.25,3.55,2.07,9.79,4.49,2.91,1.49,0.190,0.287,2.90,0.772,20.1,26.8,20.6,27.3,3  1/2 
WT7X13,13.0,3.85,6.96,7      ,5.03,5      ,0.255,  1/4 ,  1/8 ,0.420,  7/16,0.820,1  1/8 ,1.72,0.383,5.98,27.3,17.3,5.89,3.31,2.12,4.45,2.76,1.77,1.08,0.179,0.207,2.82,0.712,18.4,23.5,19.0,24.0,2  3/4 
