Name,W,A,d,b,t,kdes,kdet,x,y,xp,yp,b/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,ro,H,tan(_),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,PA,PA2,PB
L5X3X7/16,11.3,3.31,3.00,5.00,0.438,0.875,  7/8 ,0.722,1.72,0.331,1.22,11.4,8.41,4.53,2.56,1.59,2.29,1.82,1.00,0.831,1.37,0.644,0.840,0.220,0.304,2.39,Ð,0.361,9.33,2.19,1.37,3.26,1.63,1.26,0.640,4.26,6.81,2.86,0.840,1.09,2.14,13.0,11.0,16.0
L5X3X3/8,9.80,2.86,3.00,5.00,0.375,0.813, 13/16,0.698,1.69,0.286,1.19,13.3,7.35,3.93,2.22,1.60,2.01,1.57,0.874,0.838,1.20,0.646,0.727,0.141,0.196,2.41,Ð,0.364,8.16,2.20,1.35,3.29,1.65,1.23,0.652,3.71,6.04,2.48,0.727,0.976,1.84,13.0,11.0,16.0
L5X3X5/16,8.20,2.41,3.00,5.00,0.313,0.750,  3/4 ,0.673,1.67,0.241,1.14,16.0,6.24,3.32,1.87,1.61,1.72,1.31,0.739,0.846,1.01,0.649,0.608,0.0832,0.116,2.42,Ð,0.368,6.95,2.22,1.33,3.30,1.66,1.21,0.665,3.13,5.23,2.11,0.608,0.835,1.52,13.0,11.0,16.0
L5X3X1/4,6.60,1.94,3.00,5.00,0.250,0.688, 11/16,0.648,1.64,0.194,1.12,20.0,5.09,2.68,1.51,1.62,1.41,1.05,0.600,0.853,0.825,0.652,0.491,0.0438,0.0606,2.43,Ð,0.371,5.68,2.24,1.31,3.33,1.68,1.18,0.677,2.54,4.34,1.71,0.491,0.699,1.22,13.0,11.0,16.0
L4X4X3/4,18.5,5.44,4.00,4.00,0.750,1.13,1  1/8 ,1.27,1.27,0.680,0.680,5.33,7.62,5.02,2.79,1.18,7.62,5.02,2.79,1.18,3.25,0.774,1.81,1.02,1.12,2.10,0.640,1.00,12.0,2.56,0,2.56,1.30,1.80,1.30,4.69,Ð,4.69,2.50,1.81,2.50,12.0,12.0,16.0
L4X4X5/8,15.7,4.61,4.00,4.00,0.625,1.00,1      ,1.22,1.22,0.576,0.576,6.40,6.62,4.28,2.38,1.20,6.62,4.28,2.38,1.20,2.76,0.774,1.60,0.610,0.680,2.13,0.630,1.00,10.5,2.61,0,2.61,1.32,1.73,1.32,4.02,Ð,4.02,2.09,1.60,2.09,12.0,12.0,16.0
L4X4X1/2,12.8,3.75,4.00,4.00,0.500,0.875,  7/8 ,1.18,1.18,0.469,0.469,8.00,5.52,3.50,1.96,1.21,5.52,3.50,1.96,1.21,2.25,0.776,1.35,0.322,0.366,2.16,0.630,1.00,8.79,2.65,0,2.65,1.34,1.67,1.34,3.32,Ð,3.32,1.68,1.35,1.68,12.0,12.0,16.0
L4X4X7/16,11.3,3.30,4.00,4.00,0.438,0.813, 13/16,1.15,1.15,0.413,0.413,9.13,4.93,3.10,1.73,1.22,4.93,3.10,1.73,1.22,1.99,0.777,1.22,0.220,0.252,2.18,0.630,1.00,7.86,2.67,0,2.67,1.36,1.63,1.36,2.94,Ð,2.94,1.46,1.22,1.46,12.0,12.0,16.0
L4X4X3/8,9.80,2.86,4.00,4.00,0.375,0.750,  3/4 ,1.13,1.13,0.358,0.358,10.7,4.32,2.69,1.50,1.23,4.32,2.69,1.50,1.23,1.73,0.779,1.08,0.141,0.162,2.19,0.630,1.00,6.91,2.70,0,2.70,1.36,1.60,1.36,2.56,Ð,2.56,1.27,1.08,1.27,12.0,12.0,16.0
L4X4X5/16,8.20,2.40,4.00,4.00,0.313,0.688, 11/16,1.11,1.11,0.300,0.300,12.8,3.67,2.26,1.27,1.24,3.67,2.26,1.27,1.24,1.46,0.781,0.930,0.0832,0.0963,2.21,0.630,1.00,5.88,2.72,0,2.72,1.37,1.57,1.37,2.16,Ð,2.16,1.07,0.930,1.07,12.0,12.0,16.0
L4X4X1/4,6.60,1.93,4.00,4.00,0.250,0.625,  5/8 ,1.08,1.08,0.241,0.241,16.0,3.00,1.82,1.03,1.25,3.00,1.82,1.03,1.25,1.19,0.783,0.778,0.0438,0.0505,2.22,0.630,1.00,4.82,2.74,0,2.74,1.39,1.53,1.39,1.76,Ð,1.76,0.856,0.778,0.856,12.0,12.0,16.0
L4X3-1/2X1/2,11.9,3.50,3.50,4.00,0.500,0.875,  7/8 ,0.994,1.24,0.438,0.500,8.00,5.30,3.46,1.92,1.23,3.76,2.69,1.50,1.04,1.79,0.716,1.16,0.301,0.302,2.03,Ð,0.750,7.26,2.29,0.397,2.66,1.41,1.54,1.06,3.17,18.3,2.73,1.27,1.16,1.69,11.5,11.0,15.0
L4X3-1/2X3/8,9.10,2.68,3.50,4.00,0.375,0.750,  3/4 ,0.947,1.20,0.335,0.427,10.7,4.15,2.66,1.48,1.25,2.96,2.06,1.16,1.05,1.39,0.719,0.939,0.132,0.134,2.06,Ð,0.755,5.73,2.35,0.387,2.69,1.43,1.48,1.08,2.44,14.8,2.13,0.972,0.939,1.29,11.5,11.0,15.0
L4X3-1/2X5/16,7.70,2.25,3.50,4.00,0.313,0.688, 11/16,0.923,1.17,0.281,0.400,12.8,3.53,2.24,1.25,1.25,2.52,1.74,0.980,1.06,1.16,0.721,0.806,0.0782,0.0798,2.08,Ð,0.757,4.88,2.36,0.376,2.72,1.44,1.44,1.10,2.07,13.0,1.79,0.806,0.806,1.05,11.5,11.0,15.0
L4X3-1/2X1/4,6.20,1.82,3.50,4.00,0.250,0.625,  5/8 ,0.897,1.14,0.228,0.360,16.0,2.89,1.81,1.01,1.26,2.07,1.40,0.794,1.07,0.953,0.723,0.653,0.0412,0.0419,2.09,Ð,0.759,4.01,2.38,0.365,2.74,1.46,1.40,1.11,1.68,11.0,1.46,0.653,0.681,0.859,11.5,11.0,15.0
L4X3X5/8,13.6,3.99,3.00,4.00,0.625,1.00,1      ,0.867,1.37,0.499,0.808,6.40,6.01,4.08,2.28,1.23,2.85,2.45,1.34,0.845,1.59,0.631,1.13,0.529,0.472,1.91,Ð,0.534,7.27,1.94,0.801,2.58,1.38,1.41,0.749,3.75,9.08,2.82,1.15,1.13,2.12,11.0,10.0,14.0
L4X3X1/2,11.1,3.25,3.00,4.00,0.500,0.875,  7/8 ,0.822,1.32,0.406,0.750,8.00,5.02,3.36,1.87,1.24,2.40,1.99,1.10,0.858,1.30,0.633,0.929,0.281,0.255,1.94,Ð,0.542,6.12,1.98,0.768,2.63,1.40,1.35,0.777,3.09,7.97,2.33,0.929,0.963,1.67,11.0,10.0,14.0
L4X3X3/8,8.50,2.49,3.00,4.00,0.375,0.750,  3/4 ,0.775,1.27,0.311,0.680,10.7,3.94,2.60,1.44,1.26,1.89,1.52,0.851,0.873,1.00,0.636,0.699,0.123,0.114,1.97,Ð,0.551,4.82,2.02,0.739,2.68,1.43,1.29,0.801,2.39,6.52,1.80,0.699,0.775,1.25,11.0,10.0,14.0
L4X3X5/16,7.20,2.09,3.00,4.00,0.313,0.688, 11/16,0.750,1.25,0.261,0.656,12.8,3.36,2.19,1.22,1.27,1.62,1.28,0.721,0.880,0.849,0.638,0.590,0.0731,0.0676,1.98,Ð,0.554,4.13,2.05,0.730,2.69,1.44,1.26,0.814,2.01,5.66,1.54,0.590,0.674,1.04,11.0,10.0,14.0
L4X3X1/4,5.80,1.69,3.00,4.00,0.250,0.625,  5/8 ,0.725,1.22,0.211,0.620,16.0,2.75,1.77,0.988,1.27,1.33,1.03,0.585,0.887,0.692,0.639,0.474,0.0386,0.0356,1.99,Ð,0.558,3.39,2.06,0.713,2.72,1.46,1.23,0.828,1.65,4.75,1.25,0.474,0.563,0.836,11.0,10.0,14.0
L3-1/2X3-1/2X1/2,11.1,3.25,3.50,3.50,0.500,0.875,  7/8 ,1.05,1.05,0.464,0.464,7.00,3.63,2.66,1.48,1.05,3.63,2.66,1.48,1.05,1.51,0.679,1.02,0.281,0.238,1.87,0.630,1.00,5.75,2.30,0,2.30,1.17,1.48,1.17,2.50,Ð,2.50,1.29,1.02,1.29,10.5,10.5,14.0
L3-1/2X3-1/2X7/16,9.80,2.89,3.50,3.50,0.438,0.813, 13/16,1.03,1.03,0.413,0.413,7.99,3.25,2.36,1.32,1.06,3.25,2.36,1.32,1.06,1.33,0.681,0.911,0.192,0.164,1.89,0.630,1.00,5.16,2.32,0,2.32,1.17,1.46,1.17,2.22,Ð,2.22,1.14,0.911,1.14,10.5,10.5,14.0
L3-1/2X3-1/2X3/8,8.50,2.50,3.50,3.50,0.375,0.750,  3/4 ,1.00,1.00,0.357,0.357,9.33,2.86,2.06,1.15,1.07,2.86,2.06,1.15,1.07,1.17,0.683,0.830,0.123,0.106,1.90,0.630,1.00,4.55,2.34,0,2.34,1.19,1.41,1.19,1.94,Ð,1.94,0.983,0.830,0.983,10.5,10.5,14.0
L3-1/2X3-1/2X5/16,7.20,2.10,3.50,3.50,0.313,0.688, 11/16,0.979,0.979,0.300,0.300,11.2,2.44,1.74,0.969,1.08,2.44,1.74,0.969,1.08,0.984,0.685,0.713,0.0731,0.0634,1.92,0.630,1.00,3.89,2.36,0,2.36,1.20,1.38,1.20,1.65,Ð,1.65,0.820,0.713,0.820,10.5,10.5,14.0
L3-1/2X3-1/2X1/4,5.80,1.70,3.50,3.50,0.250,0.625,  5/8 ,0.954,0.954,0.243,0.243,14.0,2.00,1.41,0.787,1.09,2.00,1.41,0.787,1.09,0.802,0.688,0.594,0.0386,0.0334,1.93,0.630,1.00,3.19,2.39,0,2.39,1.21,1.35,1.21,1.33,Ð,1.33,0.663,0.594,0.663,10.5,10.5,14.0
L3-1/2X3X1/2,10.2,3.02,3.00,3.50,0.500,0.875,  7/8 ,0.869,1.12,0.431,0.480,7.00,3.45,2.61,1.45,1.07,2.32,1.97,1.09,0.877,1.15,0.618,0.846,0.260,0.191,1.75,Ð,0.713,4.62,1.95,0.407,2.30,1.23,1.36,0.878,2.37,11.4,2.01,0.935,0.846,1.31,10.0,9.50,13.0
L3-1/2X3X7/16,9.10,2.67,3.00,3.50,0.438,0.813, 13/16,0.846,1.09,0.381,0.449,7.99,3.10,2.32,1.29,1.08,2.09,1.75,0.971,0.885,1.02,0.620,0.773,0.178,0.132,1.76,Ð,0.717,4.16,1.96,0.393,2.32,1.24,1.32,0.894,2.12,10.6,1.79,0.823,0.773,1.14,10.0,9.50,13.0
L3-1/2X3X3/8,7.90,2.32,3.00,3.50,0.375,0.750,  3/4 ,0.823,1.07,0.331,0.407,9.33,2.73,2.03,1.12,1.09,1.84,1.52,0.847,0.892,0.894,0.622,0.693,0.114,0.0858,1.78,Ð,0.720,3.68,1.99,0.389,2.34,1.25,1.29,0.901,1.85,9.46,1.57,0.715,0.693,0.992,10.0,9.50,13.0
L3-1/2X3X5/16,6.60,1.95,3.00,3.50,0.313,0.688, 11/16,0.798,1.05,0.279,0.380,11.2,2.33,1.72,0.951,1.09,1.58,1.28,0.718,0.900,0.758,0.624,0.602,0.0680,0.0512,1.79,Ð,0.722,3.15,2.01,0.383,2.36,1.26,1.26,0.916,1.57,8.22,1.33,0.602,0.602,0.828,10.0,9.50,13.0
L3-1/2X3X1/4,5.40,1.58,3.00,3.50,0.250,0.625,  5/8 ,0.773,1.02,0.226,0.340,14.0,1.92,1.39,0.773,1.10,1.30,1.04,0.585,0.908,0.622,0.628,0.486,0.0360,0.0270,1.80,Ð,0.725,2.60,2.03,0.374,2.39,1.28,1.22,0.928,1.28,6.95,1.09,0.486,0.510,0.670,10.0,9.50,13.0
L3-1/2X2-1/2X1/2,9.40,2.77,2.50,3.50,0.500,0.875,  7/8 ,0.701,1.20,0.396,0.730,7.00,3.24,2.52,1.41,1.08,1.36,1.39,0.756,0.701,0.781,0.532,0.651,0.234,0.159,1.66,Ð,0.485,3.82,1.64,0.774,2.27,1.20,1.15,0.598,2.33,4.94,1.68,0.651,0.679,1.31,9.50,8.50,12.0
L3-1/2X2-1/2X3/8,7.20,2.12,2.50,3.50,0.375,0.750,  3/4 ,0.655,1.15,0.303,0.673,9.33,2.56,1.96,1.09,1.10,1.09,1.07,0.589,0.716,0.609,0.535,0.499,0.103,0.0714,1.69,Ð,0.495,3.04,1.68,0.739,2.31,1.22,1.10,0.626,1.81,4.11,1.32,0.499,0.554,0.973,9.50,8.50,12.0
L3-1/2X2-1/2X5/16,6.10,1.79,2.50,3.50,0.313,0.688, 11/16,0.632,1.13,0.256,0.636,11.2,2.20,1.67,0.925,1.11,0.937,0.900,0.501,0.723,0.518,0.538,0.418,0.0611,0.0426,1.71,Ð,0.500,2.62,1.71,0.729,2.33,1.24,1.07,0.633,1.53,3.59,1.12,0.418,0.484,0.818,9.50,8.50,12.0
L3-1/2X2-1/2X1/4,4.90,1.45,2.50,3.50,0.250,0.625,  5/8 ,0.607,1.10,0.207,0.600,14.0,1.81,1.36,0.753,1.12,0.775,0.728,0.410,0.731,0.426,0.541,0.341,0.0322,0.0225,1.72,Ð,0.504,2.16,1.72,0.710,2.36,1.25,1.04,0.647,1.26,3.04,0.915,0.341,0.410,0.658,9.50,8.50,12.0
L3X3X1/2,9.40,2.76,3.00,3.00,0.500,0.875,  7/8 ,0.929,0.929,0.460,0.460,6.00,2.20,1.91,1.06,0.895,2.20,1.91,1.06,0.895,0.922,0.580,0.704,0.230,0.144,1.59,0.630,1.00,3.48,1.94,0,1.94,0.984,1.31,0.984,1.79,Ð,1.79,0.937,0.704,0.937,9.00,9.00,12.0
L3X3X7/16,8.30,2.43,3.00,3.00,0.438,0.813, 13/16,0.907,0.907,0.405,0.405,6.85,1.98,1.70,0.946,0.903,1.98,1.70,0.946,0.903,0.817,0.580,0.638,0.157,0.100,1.60,0.630,1.00,3.14,1.97,0,1.97,0.993,1.28,0.993,1.59,Ð,1.59,0.823,0.638,0.823,9.00,9.00,12.0
L3X3X3/8,7.20,2.11,3.00,3.00,0.375,0.750,  3/4 ,0.884,0.884,0.352,0.352,8.00,1.75,1.48,0.825,0.910,1.75,1.48,0.825,0.910,0.716,0.581,0.573,0.101,0.0652,1.62,0.630,1.00,2.79,1.99,0,1.99,1.00,1.25,1.00,1.40,Ð,1.40,0.716,0.573,0.716,9.00,9.00,12.0
L3X3X5/16,6.10,1.78,3.00,3.00,0.313,0.688, 11/16,0.860,0.860,0.297,0.297,9.58,1.50,1.26,0.699,0.918,1.50,1.26,0.699,0.918,0.606,0.583,0.497,0.0597,0.0390,1.64,0.630,1.00,2.40,2.01,0,2.01,1.02,1.22,1.02,1.19,Ð,1.19,0.594,0.497,0.594,9.00,9.00,12.0
L3X3X1/4,4.90,1.44,3.00,3.00,0.250,0.625,  5/8 ,0.836,0.836,0.240,0.240,12.0,1.23,1.02,0.569,0.926,1.23,1.02,0.569,0.926,0.490,0.585,0.415,0.0313,0.0206,1.65,0.630,1.00,1.97,2.03,0,2.03,1.03,1.18,1.03,0.970,Ð,0.970,0.476,0.415,0.476,9.00,9.00,12.0
L3X3X3/16,3.71,1.09,3.00,3.00,0.188,0.563,  9/16,0.812,0.812,0.182,0.182,16.0,0.948,0.774,0.433,0.933,0.948,0.774,0.433,0.933,0.373,0.586,0.324,0.0136,0.00899,1.67,0.630,1.00,1.52,2.05,0,2.05,1.04,1.15,1.04,0.741,Ð,0.741,0.359,0.324,0.359,9.00,9.00,12.0
L3X2-1/2X1/2,8.50,2.50,2.50,3.00,0.500,0.875,  7/8 ,0.746,0.995,0.417,0.500,6.00,2.07,1.86,1.03,0.910,1.29,1.34,0.736,0.718,0.665,0.516,0.568,0.213,0.112,1.46,Ð,0.666,2.69,1.59,0.414,1.94,1.05,1.17,0.700,1.69,6.50,1.39,0.633,0.568,0.950,8.50,8.00,11.0
L3X2-1/2X7/16,7.60,2.22,2.50,3.00,0.438,0.813, 13/16,0.724,0.972,0.370,0.463,6.85,1.87,1.66,0.921,0.917,1.17,1.19,0.656,0.724,0.594,0.516,0.521,0.146,0.0777,1.48,Ð,0.671,2.45,1.62,0.403,1.97,1.05,1.14,0.712,1.51,6.08,1.24,0.566,0.521,0.834,8.50,8.00,11.0
L3X2-1/2X3/8,6.60,1.93,2.50,3.00,0.375,0.750,  3/4 ,0.701,0.949,0.322,0.427,8.00,1.65,1.45,0.803,0.924,1.03,1.03,0.573,0.731,0.514,0.517,0.463,0.0943,0.0507,1.49,Ð,0.675,2.17,1.64,0.395,1.99,1.07,1.11,0.720,1.32,5.49,1.09,0.480,0.463,0.714,8.50,8.00,11.0
L3X2-1/2X5/16,5.60,1.63,2.50,3.00,0.313,0.688, 11/16,0.677,0.925,0.272,0.392,9.58,1.41,1.23,0.681,0.932,0.888,0.873,0.487,0.739,0.435,0.518,0.403,0.0560,0.0304,1.51,Ð,0.679,1.86,1.66,0.383,2.01,1.07,1.08,0.739,1.12,4.86,0.925,0.407,0.403,0.589,8.50,8.00,11.0
L3X2-1/2X1/4,4.50,1.32,2.50,3.00,0.250,0.625,  5/8 ,0.653,0.900,0.220,0.360,12.0,1.16,1.00,0.555,0.940,0.734,0.707,0.397,0.746,0.355,0.520,0.329,0.0296,0.0161,1.52,Ð,0.683,1.54,1.68,0.373,2.03,1.08,1.05,0.753,0.917,4.13,0.759,0.329,0.338,0.471,8.50,8.00,11.0
L3X2-1/2X3/16,3.39,1.00,2.50,3.00,0.188,0.563,  9/16,0.627,0.874,0.167,0.333,16.0,0.899,0.761,0.423,0.947,0.568,0.536,0.303,0.753,0.271,0.521,0.246,0.0130,0.00705,1.54,Ð,0.687,1.20,1.70,0.365,2.05,1.10,1.01,0.765,0.706,3.29,0.585,0.246,0.268,0.354,8.50,8.00,11.0
L3X2X1/2,7.70,2.26,2.00,3.00,0.500,0.813, 13/16,0.580,1.08,0.377,0.740,6.00,1.92,1.78,1.00,0.922,0.667,0.887,0.470,0.543,0.409,0.425,0.411,0.192,0.0908,1.39,Ð,0.413,2.18,1.31,0.776,1.90,0.995,0.949,0.429,1.66,2.81,1.15,0.411,0.431,0.953,8.00,7.00,10.0
L3X2X3/8,5.90,1.75,2.00,3.00,0.375,0.688, 11/16,0.535,1.03,0.292,0.667,8.00,1.54,1.39,0.779,0.937,0.539,0.679,0.368,0.555,0.319,0.426,0.313,0.0855,0.0413,1.42,Ð,0.426,1.76,1.35,0.739,1.95,1.02,0.895,0.450,1.30,2.38,0.903,0.313,0.356,0.709,8.00,7.00,10.0
L3X2X5/16,5.00,1.48,2.00,3.00,0.313,0.625,  5/8 ,0.511,1.01,0.247,0.632,9.58,1.32,1.19,0.662,0.945,0.467,0.572,0.314,0.562,0.271,0.428,0.263,0.0510,0.0248,1.43,Ð,0.432,1.52,1.37,0.724,1.97,1.03,0.870,0.465,1.11,2.10,0.772,0.263,0.311,0.583,8.00,7.00,10.0
L3X2X1/4,4.10,1.20,2.00,3.00,0.250,0.563,  9/16,0.487,0.980,0.200,0.600,12.0,1.09,0.969,0.541,0.953,0.390,0.463,0.258,0.569,0.223,0.431,0.214,0.0270,0.0132,1.45,Ð,0.437,1.26,1.39,0.702,2.00,1.04,0.840,0.480,0.906,1.79,0.630,0.214,0.265,0.465,8.00,7.00,10.0
L3X2X3/16,3.07,0.917,2.00,3.00,0.188,0.500,  1/2 ,0.462,0.952,0.153,0.555,16.0,0.847,0.743,0.414,0.961,0.305,0.351,0.198,0.577,0.173,0.435,0.163,0.0119,0.00576,1.46,Ð,0.442,0.979,1.41,0.683,2.02,1.06,0.808,0.493,0.694,1.43,0.485,0.163,0.214,0.351,8.00,7.00,10.0
L2-1/2X2-1/2X1/2,7.70,2.26,2.50,2.50,0.500,0.750,  3/4 ,0.803,0.803,0.452,0.452,5.00,1.22,1.29,0.716,0.735,1.22,1.29,0.716,0.735,0.526,0.481,0.461,0.188,0.0791,1.30,0.640,1.00,1.92,1.59,0,1.59,0.809,1.14,0.809,1.21,Ð,1.21,0.650,0.461,0.650,7.50,7.50,10.0
L2-1/2X2-1/2X3/8,5.90,1.73,2.50,2.50,0.375,0.625,  5/8 ,0.758,0.758,0.346,0.346,6.67,0.972,1.01,0.558,0.749,0.972,1.01,0.558,0.749,0.400,0.481,0.374,0.0833,0.0362,1.33,0.630,1.00,1.54,1.64,0,1.64,0.828,1.07,0.828,0.939,Ð,0.939,0.483,0.374,0.483,7.50,7.50,10.0
L2-1/2X2-1/2X5/16,5.00,1.46,2.50,2.50,0.313,0.563,  9/16,0.735,0.735,0.292,0.292,7.99,0.837,0.853,0.474,0.756,0.837,0.853,0.474,0.756,0.338,0.481,0.325,0.0495,0.0218,1.35,0.630,1.00,1.34,1.66,0,1.66,0.839,1.04,0.839,0.807,Ð,0.807,0.403,0.325,0.403,7.50,7.50,10.0
L2-1/2X2-1/2X1/4,4.10,1.19,2.50,2.50,0.250,0.500,  1/2 ,0.711,0.711,0.238,0.238,10.0,0.692,0.695,0.387,0.764,0.692,0.695,0.387,0.764,0.276,0.482,0.273,0.0261,0.0116,1.36,0.630,1.00,1.11,1.68,0,1.68,0.851,1.01,0.851,0.661,Ð,0.661,0.324,0.273,0.324,7.50,7.50,10.0
L2-1/2X2-1/2X3/16,3.07,0.901,2.50,2.50,0.188,0.438,  7/16,0.687,0.687,0.180,0.180,13.3,0.535,0.529,0.295,0.771,0.535,0.529,0.295,0.771,0.209,0.482,0.215,0.0114,0.00510,1.38,0.630,1.00,0.860,1.70,0,1.70,0.863,0.972,0.863,0.506,Ð,0.506,0.242,0.215,0.242,7.50,7.50,10.0
L2-1/2X2X3/8,5.30,1.55,2.00,2.50,0.375,0.625,  5/8 ,0.578,0.826,0.310,0.433,6.67,0.914,0.982,0.546,0.766,0.513,0.657,0.361,0.574,0.273,0.419,0.295,0.0746,0.0268,1.22,Ð,0.612,1.15,1.29,0.403,1.63,0.880,0.924,0.541,0.891,2.85,0.706,0.310,0.295,0.505,7.00,6.50,9.00
L2-1/2X2X5/16,4.50,1.32,2.00,2.50,0.313,0.563,  9/16,0.555,0.803,0.264,0.388,7.99,0.790,0.839,0.465,0.774,0.446,0.557,0.309,0.581,0.233,0.420,0.261,0.0444,0.0162,1.23,Ð,0.618,1.00,1.31,0.391,1.65,0.889,0.894,0.554,0.763,2.56,0.606,0.262,0.261,0.421,7.00,6.50,9.00
L2-1/2X2X1/4,3.62,1.07,2.00,2.50,0.250,0.500,  1/2 ,0.532,0.779,0.214,0.360,10.0,0.656,0.688,0.381,0.782,0.372,0.454,0.253,0.589,0.192,0.423,0.213,0.0235,0.00868,1.25,Ð,0.624,0.837,1.33,0.380,1.68,0.900,0.864,0.565,0.629,2.20,0.498,0.213,0.222,0.340,7.00,6.50,9.00
L2-1/2X2X3/16,2.75,0.818,2.00,2.50,0.188,0.438,  7/16,0.508,0.754,0.164,0.319,13.3,0.511,0.529,0.293,0.790,0.292,0.347,0.195,0.597,0.148,0.426,0.162,0.0103,0.00382,1.26,Ð,0.628,0.654,1.35,0.367,1.70,0.911,0.832,0.580,0.484,1.78,0.385,0.162,0.178,0.255,7.00,6.50,9.00
L2-1/2X1-1/2X1/4,3.19,0.947,1.50,2.50,0.250,0.500,  1/2 ,0.372,0.866,0.189,0.606,10.0,0.594,0.644,0.364,0.792,0.160,0.261,0.142,0.411,0.0977,0.321,0.120,0.0209,0.00694,1.19,Ð,0.354,0.656,1.08,0.692,1.62,0.816,0.640,0.313,0.607,0.948,0.405,0.120,0.153,0.312,6.50,5.50,8.00
L2-1/2X1-1/2X3/16,2.44,0.724,1.50,2.50,0.188,0.438,  7/16,0.347,0.839,0.145,0.569,13.3,0.464,0.497,0.280,0.801,0.126,0.198,0.110,0.418,0.0754,0.324,0.0906,0.00921,0.00306,1.20,Ð,0.360,0.514,1.09,0.671,1.65,0.832,0.611,0.326,0.472,0.766,0.312,0.0906,0.123,0.231,6.50,5.50,8.00
L2X2X3/8,4.70,1.37,2.00,2.00,0.375,0.625,  5/8 ,0.632,0.632,0.343,0.343,5.33,0.476,0.629,0.348,0.591,0.476,0.629,0.348,0.591,0.203,0.386,0.227,0.0658,0.0174,1.05,0.640,1.00,0.749,1.28,0,1.28,0.653,0.894,0.653,0.585,Ð,0.585,0.311,0.227,0.311,6.00,6.00,8.00
L2X2X5/16,3.92,1.16,2.00,2.00,0.313,0.563,  9/16,0.609,0.609,0.290,0.290,6.39,0.414,0.537,0.298,0.598,0.414,0.537,0.298,0.598,0.172,0.386,0.200,0.0393,0.0106,1.06,0.640,1.00,0.655,1.30,0,1.30,0.664,0.861,0.664,0.504,Ð,0.504,0.259,0.200,0.259,6.00,6.00,8.00
L2X2X1/4,3.19,0.944,2.00,2.00,0.250,0.500,  1/2 ,0.586,0.586,0.236,0.236,8.00,0.346,0.440,0.244,0.605,0.346,0.440,0.244,0.605,0.142,0.387,0.171,0.0209,0.00572,1.08,0.630,1.00,0.551,1.33,0,1.33,0.674,0.829,0.674,0.414,Ð,0.414,0.211,0.171,0.211,6.00,6.00,8.00
L2X2X3/16,2.44,0.722,2.00,2.00,0.188,0.438,  7/16,0.561,0.561,0.181,0.181,10.6,0.271,0.338,0.188,0.612,0.271,0.338,0.188,0.612,0.109,0.389,0.137,0.00921,0.00254,1.09,0.630,1.00,0.433,1.35,0,1.35,0.687,0.793,0.687,0.321,Ð,0.321,0.159,0.137,0.159,6.00,6.00,8.00
L2X2X1/8,1.65,0.491,2.00,2.00,0.125,0.375,  3/8 ,0.534,0.534,0.123,0.123,16.0,0.189,0.230,0.129,0.620,0.189,0.230,0.129,0.620,0.0756,0.391,0.100,0.00293,0.000789,1.10,0.630,1.00,0.303,1.37,0,1.37,0.703,0.755,0.703,0.221,Ð,0.221,0.108,0.100,0.108,6.00,6.00,8.00