Name,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi
W44X335,335,98.5,44.0,44      ,15.9,16      ,1.03,1      ,  1/2 ,1.77,1  3/4 ,2.56,3      ,1  3/4 ,4.50,38.0,31100,1620,1410,17.8,1200,236,150,3.49,74.7,535000,168,1180,278,805,4.24,42.2,132,148,104,120,38      ,5  1/2 
W44X290,290,85.4,43.6,43  5/8 ,15.8,15  7/8 ,0.865,  7/8 ,  7/16,1.58,1  9/16,2.36,2 13/16,1  5/8 ,5.02,45.0,27000,1410,1240,17.8,1040,205,132,3.49,50.9,461000,166,1040,248,701,4.20,42.0,131,147,103,119,38      ,5  1/2 
W44X262,262,77.2,43.3,43  1/4 ,15.8,15  3/4 ,0.785, 13/16,  7/16,1.42,1  7/16,2.20,2  5/8 ,1  5/8 ,5.57,49.6,24100,1270,1110,17.7,923,182,117,3.47,37.3,405000,165,928,223,630,4.17,41.9,131,147,102,118,38      ,5  1/2 
W44X230,230,67.8,42.9,42  7/8 ,15.8,15  3/4 ,0.710, 11/16,  3/8 ,1.22,1  1/4 ,2.01,2  7/16,1  9/16,6.45,54.8,20800,1100,971,17.5,796,157,101,3.43,24.9,346000,165,793,192,547,4.13,41.7,130,146,102,118,38      ,5  1/2 
W40X655,655,193,43.6,43  5/8 ,16.9,16  7/8 ,1.97,2      ,1      ,3.54,3  9/16,4.72,4 13/16,2  3/16,2.39,17.3,56500,3080,2590,17.1,2870,542,340,3.86,589,1150000,169,2530,529,1530,4.71,40.1,132,149,104,121,34      ,7  1/2 
W40X593,593,174,43.0,43      ,16.7,16  3/4 ,1.79,1 13/16, 15/16,3.23,3  1/4 ,4.41,4  1/2 ,2  1/8 ,2.58,19.1,50400,2760,2340,17.0,2520,481,302,3.80,445,997000,166,2240,479,1370,4.63,39.8,130,147,103,120,34      ,7  1/2 
W40X503,503,148,42.1,42      ,16.4,16  3/8 ,1.54,1  9/16, 13/16,2.76,2  3/4 ,3.94,4      ,2      ,2.98,22.3,41600,2320,1980,16.8,2040,394,249,3.72,277,789000,161,1830,403,1150,4.50,39.3,129,145,101,117,34      ,7  1/2 
W40X431,431,127,41.3,41  1/4 ,16.2,16  1/4 ,1.34,1  5/16, 11/16,2.36,2  3/8 ,3.54,3  5/8 ,1  7/8 ,3.44,25.5,34800,1960,1690,16.6,1690,328,208,3.65,177,638000,158,1510,341,969,4.41,38.9,127,143,98.8,115,34      ,7  1/2 
W40X397,397,117,41.0,41      ,16.1,16  1/8 ,1.22,1  1/4 ,  5/8 ,2.20,2  3/16,3.38,3  1/2 ,1 13/16,3.66,28.0,32000,1800,1560,16.6,1540,300,191,3.64,142,579000,156,1380,318,891,4.38,38.8,126,142,98.1,114,34      ,7  1/2 
W40X372,372,110,40.6,40  5/8 ,16.1,16  1/8 ,1.16,1  3/16,  5/8 ,2.05,2  1/16,3.23,3  5/16,1 13/16,3.93,29.5,29600,1680,1460,16.5,1420,277,177,3.60,116,528000,155,1280,295,829,4.33,38.6,125,141,97.3,113,34      ,7  1/2 
W40X362,362,106,40.6,40  1/2 ,16.0,16      ,1.12,1  1/8 ,  9/16,2.01,2      ,3.19,3  1/4 ,1  3/4 ,3.99,30.5,28900,1640,1420,16.5,1380,270,173,3.60,109,513000,154,1240,289,808,4.33,38.6,125,141,97.2,113,34      ,7  1/2 
W40X324,324,95.3,40.2,40  1/8 ,15.9,15  7/8 ,1.00,1      ,  1/2 ,1.81,1 13/16,2.99,3  1/16,1 11/16,4.40,34.2,25600,1460,1280,16.4,1220,239,153,3.58,79.4,448000,153,1100,259,720,4.27,38.4,124,140,96.3,112,34      ,7  1/2 
W40X297,297,87.3,39.8,39  7/8 ,15.8,15  7/8 ,0.930, 15/16,  1/2 ,1.65,1  5/8 ,2.83,2 15/16,1 11/16,4.80,36.8,23200,1330,1170,16.3,1090,215,138,3.54,61.2,399000,151,982,234,652,4.22,38.2,123,139,95.4,111,34      ,7  1/2 
W40X277,277,81.5,39.7,39  3/4 ,15.8,15  7/8 ,0.830, 13/16,  7/16,1.58,1  9/16,2.76,2  7/8 ,1  5/8 ,5.03,41.2,21900,1250,1100,16.4,1040,204,132,3.58,51.5,379000,151,940,225,614,4.25,38.1,123,139,95.2,111,34      ,7  1/2 
W40X249,249,73.5,39.4,39  3/8 ,15.8,15  3/4 ,0.750,  3/4 ,  3/8 ,1.42,1  7/16,2.60,2 11/16,1  9/16,5.55,45.6,19600,1120,993,16.3,926,182,118,3.55,38.1,334000,150,841,203,551,4.21,38.0,122,138,94.6,110,34      ,7  1/2 
W40X215,215,63.5,39.0,39      ,15.8,15  3/4 ,0.650,  5/8 ,  5/16,1.22,1  1/4 ,2.40,2  1/2 ,1  9/16,6.45,52.6,16700,964,859,16.2,803,156,101,3.54,24.8,284000,149,719,175,473,4.19,37.8,122,138,93.8,110,34      ,7  1/2 
W40X199,199,58.8,38.7,38  5/8 ,15.8,15  3/4 ,0.650,  5/8 ,  5/16,1.07,1  1/16,2.25,2  5/16,1  9/16,7.39,52.6,14900,869,770,16.0,695,137,88.2,3.45,18.3,246000,149,628,153,427,4.12,37.6,121,137,93.2,109,34      ,7  1/2 
W40X392,392,116,41.6,41  5/8 ,12.4,12  3/8 ,1.42,1  7/16,  3/4 ,2.52,2  1/2 ,3.70,3 13/16,1 15/16,2.45,24.1,29900,1710,1440,16.1,803,212,130,2.64,172,306000,121,946,270,848,3.30,39.1,116,128,95.6,108,34      ,7  1/2 
W40X331,331,97.7,40.8,40  3/4 ,12.2,12  1/8 ,1.22,1  1/4 ,  5/8 ,2.13,2  1/8 ,3.31,3  3/8 ,1 13/16,2.86,28.0,24700,1430,1210,15.9,644,172,106,2.57,105,241000,118,766,226,706,3.21,38.7,114,126,93.8,106,34      ,7  1/2 
W40X327,327,95.9,40.8,40  3/4 ,12.1,12  1/8 ,1.18,1  3/16,  5/8 ,2.13,2  1/8 ,3.31,3  3/8 ,1 13/16,2.85,29.0,24500,1410,1200,16.0,640,170,105,2.58,103,239000,117,754,225,695,3.21,38.7,114,126,93.7,106,34      ,7  1/2 
W40X294,294,86.2,40.4,40  3/8 ,12.0,12      ,1.06,1  1/16,  9/16,1.93,1 15/16,3.11,3  3/16,1  3/4 ,3.11,32.2,21900,1270,1080,15.9,562,150,93.5,2.55,76.6,208000,115,668,203,622,3.16,38.5,113,125,92.8,105,34      ,7  1/2 
W40X278,278,82.3,40.2,40  1/8 ,12.0,12      ,1.03,1      ,  1/2 ,1.81,1 13/16,2.99,3  1/16,1  3/4 ,3.31,33.3,20500,1190,1020,15.8,521,140,87.1,2.52,65.0,192000,115,622,190,587,3.13,38.4,112,124,92.4,104,34      ,7  1/2 
W40X264,264,77.4,40.0,40      ,11.9,11  7/8 ,0.960, 15/16,  1/2 ,1.73,1  3/4 ,2.91,3      ,1 11/16,3.45,35.6,19400,1130,971,15.8,493,132,82.6,2.52,56.1,181000,114,589,182,555,3.12,38.3,112,124,91.9,104,34      ,7  1/2 
W40X235,235,69.1,39.7,39  3/4 ,11.9,11  7/8 ,0.830, 13/16,  7/16,1.58,1  9/16,2.76,2  7/8 ,1  5/8 ,3.77,41.2,17400,1010,875,15.9,444,118,74.6,2.54,41.3,161000,113,530,166,495,3.11,38.1,111,123,91.3,103,34      ,7  1/2 
W40X211,211,62.1,39.4,39  3/8 ,11.8,11  3/4 ,0.750,  3/4 ,  3/8 ,1.42,1  7/16,2.60,2 11/16,1  9/16,4.17,45.6,15500,906,786,15.8,390,105,66.1,2.51,30.4,141000,112,468,148,442,3.07,38.0,110,122,90.6,102,34      ,7  1/2 
W40X183,183,53.3,39.0,39      ,11.8,11  3/4 ,0.650,  5/8 ,  5/16,1.20,1  3/16,2.38,2  1/2 ,1  9/16,4.92,52.6,13200,774,675,15.7,331,88.3,56.0,2.49,19.3,118000,112,395,126,376,3.04,37.8,110,122,89.8,102,34      ,7  1/2 
W40X167,167,49.3,38.6,38  5/8 ,11.8,11  3/4 ,0.650,  5/8 ,  5/16,1.03,1      ,2.21,2  5/16,1  9/16,5.76,52.6,11600,693,600,15.3,283,76.0,47.9,2.40,14.0,99700,111,336,107,336,2.98,37.6,109,121,89.0,101,34      ,7  1/2 
W40X149,149,43.8,38.2,38  1/4 ,11.8,11  3/4 ,0.630,  5/8 ,  5/16,0.830, 13/16,2.01,2  1/8 ,1  1/2 ,7.11,54.3,9800,598,513,15.0,229,62.2,38.8,2.29,9.36,80000,110,270,86.7,288,2.89,37.4,108,120,88.2,100,34      ,7  1/2 
W36X925,925,272,43.1,43  1/8 ,18.6,18  5/8 ,3.02,3      ,1  1/2 ,4.53,4  1/2 ,5.28,5  3/8 ,2  5/16,2.05,10.8,73000,4130,3390,16.4,4940,862,531,4.26,1430,1840000,179,3780,681,2060,5.30,38.6,134,153,105,124,32  3/8 ,7  1/2 
W36X853,853,251,43.1,43  1/8 ,18.2,18  1/4 ,2.52,2  1/2 ,1  1/4 ,4.53,4  1/2 ,5.28,5  3/8 ,2  1/16,2.01,12.9,70000,3920,3250,16.7,4600,805,505,4.28,1240,1710000,175,3620,685,1950,5.22,38.6,135,153,104,122,32  3/8 ,7  1/2 
W36X802,802,236,42.6,42  5/8 ,18.0,18      ,2.38,2  3/8 ,1  3/16,4.29,4  5/16,5.04,5  1/8 ,2      ,2.10,13.7,64800,3660,3040,16.6,4210,744,468,4.22,1050,1540000,172,3330,642,1820,5.15,38.3,133,151,103,121,32  3/8 ,7  1/2 
W36X723,723,213,41.8,41  3/4 ,17.8,17  3/4 ,2.17,2  3/16,1  1/8 ,3.90,3  7/8 ,4.65,4 11/16,1  7/8 ,2.28,15.0,57300,3270,2740,16.4,3700,658,416,4.17,785,1330000,169,2930,578,1630,5.06,37.9,131,149,101,119,32  3/8 ,7  1/2 
W36X652,652,192,41.1,41      ,17.6,17  5/8 ,1.97,2      ,1      ,3.54,3  9/16,4.49,4 13/16,2  3/16,2.48,16.3,50600,2910,2460,16.2,3230,581,367,4.10,593,1130000,165,2560,518,1450,4.96,37.6,129,147,99.8,117,31  3/8 ,7  1/2 
W36X529,529,156,39.8,39  3/4 ,17.2,17  1/4 ,1.61,1  5/8 , 13/16,2.91,2 15/16,3.86,4  3/16,2      ,2.96,19.9,39600,2330,1990,16.0,2490,454,289,4.00,327,846000,159,1990,419,1160,4.80,36.9,127,144,96.8,114,31  3/8 ,7  1/2 
W36X487,487,143,39.3,39  3/8 ,17.1,17  1/8 ,1.50,1  1/2 ,  3/4 ,2.68,2 11/16,3.63,4      ,1  7/8 ,3.19,21.4,36000,2130,1830,15.8,2250,412,263,3.96,258,754000,157,1800,383,1060,4.74,36.6,125,142,95.7,113,31  3/8 ,7  1/2 
W36X441,441,130,38.9,38  7/8 ,17.0,17      ,1.36,1  3/8 , 11/16,2.44,2  7/16,3.39,3  3/4 ,1  7/8 ,3.48,23.6,32100,1910,1650,15.7,1990,368,235,3.92,194,661000,154,1600,347,950,4.69,36.5,124,141,94.8,112,31  3/8 ,7  1/2 
W36X395,395,116,38.4,38  3/8 ,16.8,16  7/8 ,1.22,1  1/4 ,  5/8 ,2.20,2  3/16,3.15,3  7/16,1 13/16,3.83,26.3,28500,1710,1490,15.7,1750,325,208,3.88,142,575000,152,1410,311,847,4.61,36.2,123,140,93.6,110,31  3/8 ,7  1/2 
W36X361,361,106,38.0,38      ,16.7,16  3/4 ,1.12,1  1/8 ,  9/16,2.01,2      ,2.96,3  5/16,1  3/4 ,4.16,28.6,25700,1550,1350,15.6,1570,293,188,3.85,109,509000,150,1270,282,767,4.58,36.0,122,139,92.7,109,31  3/8 ,7  1/2 
W36X330,330,96.9,37.7,37  5/8 ,16.6,16  5/8 ,1.02,1      ,  1/2 ,1.85,1  7/8 ,2.80,3  1/8 ,1  3/4 ,4.49,31.4,23300,1410,1240,15.5,1420,265,171,3.83,84.3,456000,149,1150,259,698,4.53,35.9,121,138,92.0,109,31  3/8 ,7  1/2 
W36X302,302,89.0,37.3,37  3/8 ,16.7,16  5/8 ,0.945, 15/16,  1/2 ,1.68,1 11/16,2.63,3      ,1 11/16,4.96,33.9,21100,1280,1130,15.4,1300,241,156,3.82,64.3,412000,148,1040,235,635,4.53,35.6,121,138,91.3,108,31  3/8 ,7  1/2 
W36X282,282,82.9,37.1,37  1/8 ,16.6,16  5/8 ,0.885,  7/8 ,  7/16,1.57,1  9/16,2.52,2  7/8 ,1  5/8 ,5.29,36.2,19600,1190,1050,15.4,1200,223,144,3.80,52.7,378000,147,960,219,591,4.50,35.5,120,137,90.8,107,31  3/8 ,7  1/2 
W36X262,262,77.2,36.9,36  7/8 ,16.6,16  1/2 ,0.840, 13/16,  7/16,1.44,1  7/16,2.39,2  3/4 ,1  5/8 ,5.75,38.2,17900,1100,972,15.3,1090,204,132,3.76,41.6,342000,147,873,200,543,4.46,35.5,120,137,90.4,107,31  3/8 ,7  1/2 
W36X247,247,72.5,36.7,36  5/8 ,16.5,16  1/2 ,0.800, 13/16,  7/16,1.35,1  3/8 ,2.30,2  5/8 ,1  5/8 ,6.11,40.1,16700,1030,913,15.2,1010,190,123,3.74,34.7,316000,146,812,187,509,4.42,35.4,120,136,89.9,106,31  3/8 ,7  1/2 
W36X231,231,68.2,36.5,36  1/2 ,16.5,16  1/2 ,0.760,  3/4 ,  3/8 ,1.26,1  1/4 ,2.21,2  9/16,1  9/16,6.54,42.2,15600,963,854,15.1,940,176,114,3.71,28.7,292000,145,756,175,476,4.40,35.2,120,136,89.5,106,31  3/8 ,7  1/2 
W36X256,256,75.3,37.4,37  3/8 ,12.2,12  1/4 ,0.960, 15/16,  1/2 ,1.73,1  3/4 ,2.48,2 15/16,1 11/16,3.53,33.8,16800,1040,895,14.9,528,137,86.5,2.65,52.9,168000,109,576,174,516,3.24,35.7,108,120,87.0,99.2,31  1/2 ,5  1/2 
W36X232,232,68.0,37.1,37  1/8 ,12.1,12  1/8 ,0.870,  7/8 ,  7/16,1.57,1  9/16,2.32,2 13/16,1  5/8 ,3.86,37.3,15000,936,809,14.8,468,122,77.2,2.62,39.6,148000,108,512,157,464,3.21,35.5,108,120,86.3,98.4,31  1/2 ,5  1/2 
W36X210,210,61.9,36.7,36  3/4 ,12.2,12  1/8 ,0.830, 13/16,  7/16,1.36,1  3/8 ,2.11,2  5/8 ,1  5/8 ,4.48,39.1,13200,833,719,14.6,411,107,67.5,2.58,28.0,128000,108,446,136,412,3.18,35.3,107,119,85.6,97.8,31  1/2 ,5  1/2 
W36X194,194,57.0,36.5,36  1/2 ,12.1,12  1/8 ,0.765,  3/4 ,  3/8 ,1.26,1  1/4 ,2.01,2  1/2 ,1  9/16,4.81,42.4,12100,767,664,14.6,375,97.7,61.9,2.56,22.2,116000,107,407,126,379,3.15,35.2,107,119,85.1,97.2,31  1/2 ,5  1/2 
W36X182,182,53.6,36.3,36  3/8 ,12.1,12  1/8 ,0.725,  3/4 ,  3/8 ,1.18,1  3/16,1.93,2  3/8 ,1  9/16,5.12,44.8,11300,718,623,14.5,347,90.7,57.6,2.55,18.5,107000,106,378,118,355,3.13,35.1,106,118,84.7,96.8,31  1/2 ,5  1/2 
W36X170,170,50.0,36.2,36  1/8 ,12.0,12      ,0.680, 11/16,  3/8 ,1.10,1  1/8 ,1.85,2  3/8 ,1  9/16,5.47,47.7,10500,668,581,14.5,320,83.8,53.2,2.53,15.1,98500,105,349,109,330,3.11,35.1,106,118,84.4,96.4,31  1/2 ,5  1/2 
W36X160,160,47.0,36.0,36      ,12.0,12      ,0.650,  5/8 ,  5/16,1.02,1      ,1.77,2  1/4 ,1  9/16,5.88,49.9,9760,624,542,14.4,295,77.3,49.1,2.50,12.4,90200,105,321,101,308,3.09,35.0,105,117,84.0,96.0,31  1/2 ,5  1/2 
W36X150,150,44.3,35.9,35  7/8 ,12.0,12      ,0.625,  5/8 ,  5/16,0.940, 15/16,1.69,2  3/16,1  1/2 ,6.37,51.9,9040,581,504,14.3,270,70.9,45.1,2.47,10.1,82200,105,294,93.1,287,3.06,35.0,105,117,83.8,95.8,31  1/2 ,5  1/2 
W36X135,135,39.9,35.6,35  1/2 ,12.0,12      ,0.600,  5/8 ,  5/16,0.790, 13/16,1.54,2  1/16,1  1/2 ,7.56,54.1,7800,509,439,14.0,225,59.7,37.7,2.38,7.00,68100,104,245,77.9,251,2.99,34.8,105,117,83.2,95.2,31  1/2 ,5  1/2 
W33X387,387,114,36.0,36      ,16.2,16  1/4 ,1.26,1  1/4 ,  5/8 ,2.28,2  1/4 ,3.07,3  9/16,1 13/16,3.55,23.7,24300,1560,1350,14.6,1620,312,200,3.77,148,459000,137,1260,287,778,4.49,33.7,117,133,88.2,104,28  7/8 ,5  1/2 
W33X354,354,104,35.6,35  1/2 ,16.1,16  1/8 ,1.16,1  3/16,  5/8 ,2.09,2  1/16,2.88,3  3/8 ,1 13/16,3.85,25.7,22000,1420,1240,14.5,1460,282,181,3.74,115,408000,135,1130,262,707,4.44,33.5,116,132,87.3,103,28  7/8 ,5  1/2 
W33X318,318,93.7,35.2,35  1/8 ,16.0,16      ,1.04,1  1/16,  9/16,1.89,1  7/8 ,2.68,3  3/16,1  3/4 ,4.23,28.7,19500,1270,1110,14.5,1290,250,161,3.71,84.4,357000,133,1010,235,632,4.40,33.3,115,131,86.4,102,28  7/8 ,5  1/2 
W33X291,291,85.6,34.8,34  7/8 ,15.9,15  7/8 ,0.960, 15/16,  1/2 ,1.73,1  3/4 ,2.52,2 15/16,1 11/16,4.60,31.0,17700,1160,1020,14.4,1160,226,146,3.68,65.1,319000,131,904,214,573,4.34,33.1,114,130,85.5,101,28  7/8 ,5  1/2 
W33X263,263,77.4,34.5,34  1/2 ,15.8,15  3/4 ,0.870,  7/8 ,  7/16,1.57,1  9/16,2.36,2 13/16,1  5/8 ,5.03,34.3,15900,1040,919,14.3,1040,202,131,3.66,48.7,281000,130,807,193,515,4.31,32.9,113,129,84.8,101,28  7/8 ,5  1/2 
W33X241,241,71.1,34.2,34  1/8 ,15.9,15  7/8 ,0.830, 13/16,  7/16,1.40,1  3/8 ,2.19,2 11/16,1  5/8 ,5.66,35.9,14200,940,831,14.1,933,182,118,3.62,36.2,251000,130,726,173,467,4.29,32.8,113,129,84.3,100,28  7/8 ,5  1/2 
W33X221,221,65.3,33.9,33  7/8 ,15.8,15  3/4 ,0.775,  3/4 ,  3/8 ,1.28,1  1/4 ,2.06,2  1/2 ,1  5/8 ,6.20,38.5,12900,857,759,14.1,840,164,106,3.59,27.8,224000,129,647,156,423,4.25,32.6,112,128,83.6,99.4,28  7/8 ,5  1/2 
W33X201,201,59.1,33.7,33  5/8 ,15.7,15  3/4 ,0.715, 11/16,  3/8 ,1.15,1  1/8 ,1.94,2  7/16,1  9/16,6.85,41.7,11600,773,686,14.0,749,147,95.2,3.56,20.8,198000,128,577,140,382,4.21,32.6,111,127,83.1,98.8,28  7/8 ,5  1/2 
W33X169,169,49.5,33.8,33  7/8 ,11.5,11  1/2 ,0.670, 11/16,  3/8 ,1.22,1  1/4 ,1.92,2  7/16,1  9/16,4.71,44.7,9290,629,549,13.7,310,84.4,53.9,2.50,17.7,82400,93.7,329,108,311,3.03,32.6,99.5,111,79.1,90.6,28  7/8 ,5  1/2 
W33X152,152,44.9,33.5,33  1/2 ,11.6,11  5/8 ,0.635,  5/8 ,  5/16,1.06,1  1/16,1.76,2  5/16,1  1/2 ,5.48,47.2,8160,559,487,13.5,273,73.9,47.2,2.47,12.4,71700,94.1,289,94.3,278,3.01,32.4,99.4,111,78.6,90.2,28  7/8 ,5  1/2 
W33X141,141,41.5,33.3,33  1/4 ,11.5,11  1/2 ,0.605,  5/8 ,  5/16,0.960, 15/16,1.66,2  3/16,1  1/2 ,6.01,49.6,7450,514,448,13.4,246,66.9,42.7,2.43,9.70,64400,93.0,257,84.6,253,2.98,32.3,98.5,110,78.1,89.6,28  7/8 ,5  1/2 
W33X130,130,38.3,33.1,33  1/8 ,11.5,11  1/2 ,0.580,  9/16,  5/16,0.855,  7/8 ,1.56,2  1/8 ,1  1/2 ,6.73,51.7,6710,467,406,13.2,218,59.5,37.9,2.39,7.37,56600,92.7,228,75.3,230,2.94,32.2,98.5,110,77.7,89.2,28  7/8 ,5  1/2 
W33X118,118,34.7,32.9,32  7/8 ,11.5,11  1/2 ,0.550,  9/16,  5/16,0.740,  3/4 ,1.44,2      ,1  1/2 ,7.76,54.5,5900,415,359,13.0,187,51.3,32.6,2.32,5.30,48300,92.5,197,65.1,205,2.89,32.2,97.5,109,77.3,88.8,28  7/8 ,5  1/2 
W30X391,391,115,33.2,33  1/4 ,15.6,15  5/8 ,1.36,1  3/8 , 11/16,2.44,2  7/16,3.23,3  3/4 ,1  7/8 ,3.19,19.7,20700,1450,1250,13.4,1550,310,198,3.67,173,366000,120,1140,267,722,4.37,30.8,109,125,82.0,97.6,25  3/4 ,5  1/2 
W30X357,357,105,32.8,32  3/4 ,15.5,15  1/2 ,1.24,1  1/4 ,  5/8 ,2.24,2  1/4 ,3.03,3  1/2 ,1 13/16,3.45,21.6,18700,1320,1140,13.3,1390,279,179,3.64,134,324000,118,1030,244,655,4.31,30.6,108,124,81.1,96.6,25  3/4 ,5  1/2 
W30X326,326,95.9,32.4,32  3/8 ,15.4,15  3/8 ,1.14,1  1/8 ,  9/16,2.05,2  1/16,2.84,3  5/16,1  3/4 ,3.75,23.4,16800,1190,1040,13.2,1240,252,162,3.60,103,287000,117,922,222,593,4.26,30.4,108,123,80.2,95.6,25  3/4 ,5  1/2 
W30X292,292,86.0,32.0,32      ,15.3,15  1/4 ,1.02,1      ,  1/2 ,1.85,1  7/8 ,2.64,3  1/8 ,1  3/4 ,4.12,26.2,14900,1060,930,13.2,1100,223,144,3.58,75.2,250000,115,816,199,529,4.22,30.2,107,122,79.3,94.6,25  3/4 ,5  1/2 
